J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
7,5,10,14,68.54982466697693,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,35,97.3284775018692,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,83,106.79536337852478,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,3,133.25358455181123,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,13,153.3168961286545,0.9,0.0,0.0,1.0,3,6,0,1
7,5,10,1,182.91761384010314,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,24,186.2959359884262,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,68,191.2739082813263,0.7,0.0,0.1,0.9,0,7,0,2
7,5,10,22,215.8507665872574,0.9,0.0,0.0,1.0,0,9,0,1
7,5,10,67,214.02309575080872,0.8,0.0,0.1,0.9,0,8,0,1
7,5,10,89,234.72677936553956,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,6,272.60229911804197,0.7,0.0,0.2,0.8,1,6,0,1
7,5,10,11,287.22454829216,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,47,654.2049490690231,0.8,0.0,0.2,0.8,1,7,0,0
7,5,10,46,714.7220077037812,0.8,0.0,0.1,0.9,0,8,0,1
7,5,10,79,754.8601983785629,0.9,0.0,0.1,0.9,0,9,0,0
7,5,10,51,940.8096031665802,0.8,0.0,0.1,0.9,0,8,0,1
7,5,10,85,980.5729295492172,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,26,1636.980344414711,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,27,1947.6012439250946,0.8,0.0,0.0,1.0,1,7,0,2
7,5,10,10,2138.7753878593444,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,64,2514.0391033411024,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,15,3243.155011177063,0.9,0.0,0.0,1.0,2,7,0,1
7,5,10,16,3540.112776184082,0.9,0.0,0.0,1.0,2,7,0,1
7,5,10,99,3548.8572148799894,0.8,0.0,0.0,1.0,1,7,0,2
7,5,10,43,3923.0116893291474,0.7,0.0,0.0,1.0,0,7,0,3
7,5,10,95,6631.297372221947,0.8,0.0,0.0,1.0,0,8,0,2
7,5,10,73,9064.066167235374,0.8,0.0,0.0,1.0,0,8,0,2
7,5,10,92,9486.565174365043,0.8,0.0,0.1,0.9,1,7,0,1
7,5,10,60,12484.719856405258,0.9,0.0,0.1,0.9,2,7,0,0
7,5,10,96,12824.017493748664,0.9,0.0,0.0,1.0,1,8,0,1
7,5,10,57,12892.789147138596,0.9,0.0,0.1,0.9,1,8,0,0
7,5,10,62,13806.601651453971,0.6,0.0,0.2,0.8,0,6,0,2
