J,K,N,seed,avg_runtime,prop_identifiable,prop_non_identifiable,total_time,count_direct_flag,prop_direct_flag,count_brute_flag,prop_brute_flag,count_generator_empty,prop_generator_empty
20,4,10,33,1.6116768836975097,1.0,0.0,16.116768836975098,0,0.0,10,1.0,10,1.0
20,4,10,45,0.012618660926818848,0.8,0.2,0.12618660926818848,3,0.3,5,0.5,2,0.2,8,0.8
20,4,10,44,0.01660444736480713,0.9,0.1,0.1660444736480713,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,43,0.014997482299804688,0.9,0.1,0.14997482299804688,0,0.0,9,0.9,9,0.9,1,0.1
20,4,10,48,0.027991890907287598,1.0,0.0,0.279918909072876,2,0.2,8,0.8,10,1.0
20,4,10,51,0.019835877418518066,0.9,0.1,0.19835877418518066,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,46,0.062150764465332034,0.9,0.1,0.6215076446533203,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,49,0.16190414428710936,1.0,0.0,1.6190414428710938,2,0.2,8,0.8,10,1.0
20,4,10,47,0.25291640758514405,1.0,0.0,2.5291640758514404,2,0.2,8,0.8,10,1.0
20,4,10,42,0.313675594329834,1.0,0.0,3.13675594329834,4,0.4,6,0.6,10,1.0
20,4,10,50,1.6054704427719115,1.0,0.0,16.054704427719116,2,0.2,8,0.8,10,1.0
20,4,10,54,0.03392558097839356,1.0,0.0,0.33925580978393555,2,0.2,8,0.8,10,1.0
20,4,10,55,0.010223126411437989,1.0,0.0,0.10223126411437988,2,0.2,8,0.8,10,1.0
20,4,10,57,0.032848453521728514,0.9,0.1,0.32848453521728516,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,61,0.0287689208984375,0.9,0.1,0.287689208984375,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,53,0.046883153915405276,0.8,0.2,0.46883153915405273,2,0.2,6,0.6,8,0.8,2,0.2
20,4,10,59,0.14878630638122559,1.0,0.0,1.4878630638122559,4,0.4,6,0.6,10,1.0
20,4,10,52,0.1654446840286255,1.0,0.0,1.6544468402862549,3,0.3,7,0.7,10,1.0
20,4,10,56,0.231160569190979,0.8,0.2,2.31160569190979,2,0.2,6,0.6,8,0.8,2,0.2
20,4,10,60,0.3840226173400879,1.0,0.0,3.840226173400879,1,0.1,9,0.9,9,0.9,1,0.1
20,4,10,58,1.1511758804321288,1.0,0.0,11.511758804321289,1,0.1,9,0.9,10,1.0
20,4,10,64,0.006543278694152832,0.9,0.1,0.06543278694152832,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,66,0.014699316024780274,1.0,0.0,0.14699316024780273,3,0.3,7,0.7,10,1.0
20,4,10,62,0.02874150276184082,1.0,0.0,0.2874150276184082,4,0.4,6,0.6,10,1.0
20,4,10,63,0.01546933650970459,1.0,0.0,0.1546933650970459,5,0.5,5,0.5,10,1.0
20,4,10,67,0.0222395658493042,1.0,0.0,0.222395658493042,2,0.2,8,0.8,10,1.0
20,4,10,70,0.01734447479248047,0.8,0.2,0.1734447479248047,1,0.1,7,0.7,8,0.8,2,0.2
20,4,10,69,0.45578434467315676,1.0,0.0,4.557843446731567,1,0.1,9,0.9,10,1.0
20,4,10,71,1.2010596513748169,1.0,0.0,12.010596513748169,1,0.1,9,0.9,10,1.0
20,4,10,65,1.3546810388565063,1.0,0.0,13.546810388565063,3,0.3,7,0.7,10,1.0
20,4,10,77,0.006678009033203125,1.0,0.0,0.06678009033203125,2,0.2,8,0.8,10,1.0
20,4,10,78,0.029356884956359863,1.0,0.0,0.29356884956359863,1,0.1,9,0.9,10,1.0
20,4,10,74,0.024304962158203124,0.9,0.1,0.24304962158203125,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,81,0.01793980598449707,1.0,0.0,0.1793980598449707,3,0.3,7,0.7,10,1.0
20,4,10,73,0.03362739086151123,1.0,0.0,0.3362739086151123,1,0.1,9,0.9,10,1.0
20,4,10,76,0.16503992080688476,1.0,0.0,1.6503992080688477,3,0.3,7,0.7,10,1.0
20,4,10,75,0.18648951053619384,1.0,0.0,1.8648951053619385,1,0.1,9,0.9,10,1.0
20,4,10,80,0.2239607095718384,1.0,0.0,2.239607095718384,4,0.4,6,0.6,10,1.0
20,4,10,82,0.4121603488922119,0.9,0.1,4.121603488922119,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,79,0.5066378593444825,0.9,0.1,5.066378593444824,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,72,1.1927042245864867,1.0,0.0,11.927042245864868,1,0.1,9,0.9,10,1.0
20,4,10,83,0.01268923282623291,1.0,0.0,0.1268923282623291,3,0.3,7,0.7,10,1.0
20,4,10,85,0.015713715553283693,0.9,0.1,0.15713715553283691,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,90,0.026512503623962402,1.0,0.0,0.265125036239624,3,0.3,7,0.7,10,1.0
20,4,10,87,0.05725247859954834,1.0,0.0,0.5725247859954834,2,0.2,8,0.8,10,1.0
20,4,10,92,0.1663527488708496,0.9,0.1,1.663527488708496,0,0.0,9,0.9,9,0.9,1,0.1
20,4,10,86,0.21142940521240233,1.0,0.0,2.1142940521240234,3,0.3,7,0.7,10,1.0
20,4,10,91,0.29918417930603025,1.0,0.0,2.9918417930603027,5,0.5,5,0.5,10,1.0
20,4,10,88,0.5866711139678955,1.0,0.0,5.866711139678955,3,0.3,7,0.7,10,1.0
20,4,10,89,1.4641550779342651,1.0,0.0,14.641550779342651,0,0.0,10,1.0,10,1.0
20,4,10,84,1.4928821325302124,1.0,0.0,14.928821325302124,4,0.4,6,0.6,10,1.0
20,4,10,68,8.398125791549683,0.9,0.1,83.98125791549683,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,93,0.020664477348327638,0.9,0.1,0.20664477348327637,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,95,0.03581206798553467,1.0,0.0,0.3581206798553467,1,0.1,9,0.9,10,1.0
20,4,10,96,0.0277817964553833,0.9,0.1,0.277817964553833,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,98,0.04025301933288574,1.0,0.0,0.4025301933288574,2,0.2,8,0.8,10,1.0
20,4,10,102,0.009024763107299804,1.0,0.0,0.09024763107299805,5,0.5,5,0.5,10,1.0
20,4,10,99,0.028306961059570312,0.9,0.1,0.2830696105957031,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,94,0.4098828792572021,1.0,0.0,4.0988287925720215,3,0.3,7,0.7,10,1.0
20,4,10,101,0.4196044683456421,0.9,0.1,4.196044683456421,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,97,1.1696996450424195,1.0,0.0,11.696996450424194,3,0.3,7,0.7,10,1.0
20,4,10,100,1.4102413654327393,0.9,0.1,14.102413654327393,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,107,0.016333961486816408,1.0,0.0,0.16333961486816406,5,0.5,5,0.5,10,1.0
20,4,10,109,0.018483948707580567,0.9,0.1,0.18483948707580566,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,108,0.023028182983398437,1.0,0.0,0.23028182983398438,4,0.4,6,0.6,10,1.0
20,4,10,112,0.01283433437347412,1.0,0.0,0.1283433437347412,3,0.3,7,0.7,10,1.0
20,4,10,111,0.015410923957824707,1.0,0.0,0.15410923957824707,5,0.5,5,0.5,10,1.0
20,4,10,110,0.028551602363586427,0.9,0.1,0.28551602363586426,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,105,0.14874553680419922,1.0,0.0,1.4874553680419922,1,0.1,9,0.9,10,1.0
20,4,10,103,0.18859388828277587,1.0,0.0,1.8859388828277588,4,0.4,6,0.6,9,0.9,1,0.1
20,4,10,106,0.22539799213409423,1.0,0.0,2.2539799213409424,2,0.2,8,0.8,10,1.0
20,4,10,113,0.9894072771072387,1.0,0.0,9.894072771072388,1,0.1,9,0.9,10,1.0
20,4,10,116,0.013176512718200684,1.0,0.0,0.13176512718200684,4,0.4,6,0.6,10,1.0
20,4,10,114,0.026399922370910645,0.9,0.1,0.26399922370910645,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,119,0.018118929862976075,1.0,0.0,0.18118929862976074,1,0.1,9,0.9,10,1.0
20,4,10,120,0.016589832305908204,0.9,0.1,0.16589832305908203,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,117,0.02786104679107666,1.0,0.0,0.2786104679107666,3,0.3,7,0.7,10,1.0
20,4,10,123,0.007218599319458008,1.0,0.0,0.07218599319458008,4,0.4,6,0.6,10,1.0
20,4,10,115,0.03645665645599365,1.0,0.0,0.3645665645599365,2,0.2,8,0.8,10,1.0
20,4,10,121,0.0272843599319458,0.9,0.1,0.272843599319458,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,122,0.030648255348205568,1.0,0.0,0.30648255348205566,1,0.1,9,0.9,10,1.0
20,4,10,118,1.3778298616409301,1.0,0.0,13.778298616409302,2,0.2,8,0.8,10,1.0
20,4,10,124,0.026806282997131347,1.0,0.0,0.2680628299713135,4,0.4,6,0.6,10,1.0
20,4,10,128,0.021416544914245605,1.0,0.0,0.21416544914245605,3,0.3,7,0.7,10,1.0
20,4,10,126,0.01882796287536621,1.0,0.0,0.1882796287536621,2,0.2,8,0.8,10,1.0
20,4,10,133,0.010399556159973145,0.9,0.1,0.10399556159973145,3,0.3,6,0.6,9,0.9,1,0.1
20,4,10,129,0.03458561897277832,1.0,0.0,0.3458561897277832,2,0.2,8,0.8,10,1.0
20,4,10,134,0.023842716217041017,1.0,0.0,0.23842716217041016,3,0.3,7,0.7,10,1.0
20,4,10,132,0.031537103652954104,1.0,0.0,0.315371036529541,3,0.3,7,0.7,10,1.0
20,4,10,130,0.03011488914489746,0.9,0.1,0.3011488914489746,4,0.4,5,0.5,9,0.9,1,0.1
20,4,10,131,0.03013632297515869,0.9,0.1,0.3013632297515869,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,125,0.25404174327850343,0.9,0.1,2.540417432785034,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,127,1.0450850486755372,1.0,0.0,10.450850486755371,3,0.3,7,0.7,10,1.0
20,4,10,137,0.019236302375793456,1.0,0.0,0.19236302375793457,5,0.5,5,0.5,10,1.0
20,4,10,140,0.012439155578613281,1.0,0.0,0.12439155578613281,3,0.3,7,0.7,10,1.0
20,4,10,136,0.033910083770751956,1.0,0.0,0.33910083770751953,1,0.1,9,0.9,10,1.0
20,4,10,135,0.0337127685546875,1.0,0.0,0.337127685546875,2,0.2,8,0.8,10,1.0
20,4,10,141,0.03555128574371338,1.0,0.0,0.3555128574371338,3,0.3,7,0.7,10,1.0
20,4,10,144,0.05702838897705078,1.0,0.0,0.5702838897705078,1,0.1,9,0.9,10,1.0
20,4,10,143,0.1430389404296875,1.0,0.0,1.430389404296875,3,0.3,7,0.7,10,1.0
20,4,10,138,1.3476479053497314,0.9,0.1,13.476479053497314,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,142,1.3926591396331787,1.0,0.0,13.926591396331787,2,0.2,8,0.8,10,1.0
20,4,10,139,1.4519140243530273,0.9,0.1,14.519140243530273,1,0.1,8,0.8,9,0.9,1,0.1
20,4,10,150,0.010941529273986816,0.9,0.1,0.10941529273986816,4,0.4,5,0.5,9,0.9,1,0.1
20,4,10,154,0.019519329071044922,0.9,0.1,0.19519329071044922,2,0.2,7,0.7,9,0.9,1,0.1
20,4,10,152,0.029225802421569823,1.0,0.0,0.29225802421569824,1,0.1,9,0.9,10,1.0
20,4,10,151,0.030832481384277344,1.0,0.0,0.30832481384277344,1,0.1,9,0.9,10,1.0
20,4,10,153,0.02009885311126709,1.0,0.0,0.2009885311126709,4,0.4,6,0.6,10,1.0
20,4,10,149,0.049622631072998045,0.9,0.1,0.49622631072998047,5,0.5,4,0.4,9,0.9,1,0.1
20,4,10,147,0.05499398708343506,1.0,0.0,0.5499398708343506,3,0.3,7,0.7,10,1.0
20,4,10,145,0.1149186372756958,1.0,0.0,1.149186372756958,2,0.2,8,0.8,10,1.0
20,4,10,148,0.15161604881286622,1.0,0.0,1.516160488128662,2,0.2,8,0.8,10,1.0
