J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
8,5,10,15,0.00971083641052246,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,12,0.00020754337310791016,1.0,0.0,0.0,1.0,2,8,0,0
8,5,10,7,0.00019922256469726563,1.0,0.0,0.0,1.0,1,9,0,0
8,5,10,21,0.011976003646850586,0.9,0.0,0.1,0.9,1,8,0,0
8,5,10,24,2.3485608100891113,0.8,0.0,0.0,1.0,0,8,0,2
8,5,10,34,0.009923100471496582,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,33,0.00017855167388916015,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,38,0.00020062923431396484,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,35,0.00022554397583007812,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,41,0.00022249221801757814,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,42,0.00021026134490966796,1.0,0.0,0.0,1.0,2,8,0,0
8,5,10,16,12.413016629219054,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,49,0.0002256631851196289,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,55,0.0002389192581176758,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,50,6.375936341285706,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,31,13.383637356758118,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,29,17.88256618976593,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,25,18.545722675323486,0.8,0.0,0.1,0.9,0,8,0,1
8,5,10,56,10.640746831893921,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,65,0.00021998882293701173,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,67,0.0002862691879272461,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,78,0.27952728271484373,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,58,14.250568509101868,0.9,0.0,0.1,0.9,1,8,0,0
8,5,10,80,2.9435120820999146,0.8,0.0,0.1,0.9,2,6,0,1
8,5,10,82,0.0002093791961669922,1.0,0.0,0.0,1.0,1,9,0,0
8,5,10,81,0.0001865386962890625,1.0,0.0,0.0,1.0,2,8,0,0
8,5,10,84,0.26959805488586425,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,45,28.52854037284851,0.9,0.0,0.1,0.9,1,8,0,0
8,5,10,97,0.0001628875732421875,1.0,0.0,0.0,1.0,1,9,0,0
8,5,10,99,0.00017457008361816407,1.0,0.0,0.0,1.0,0,10,0,0
8,5,10,94,0.00019273757934570312,1.0,0.0,0.0,1.0,1,9,0,0
8,5,10,93,0.00022382736206054686,1.0,0.0,0.0,1.0,1,9,0,0
8,5,10,98,0.3291501998901367,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,72,9.742205476760864,0.9,0.0,0.0,1.0,0,9,0,1
8,5,10,77,17.18733184337616,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,91,8.851618480682372,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,23,50.670471739768985,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,75,25.153198575973512,0.9,0.0,0.1,0.9,1,8,0,0
8,5,10,32,57.70491540431976,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,86,33.31581482887268,0.9,0.0,0.0,1.0,0,9,0,1
8,5,10,5,82.79647822380066,0.9,0.0,0.1,0.9,1,8,0,0
8,5,10,20,111.19197838306427,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,39,108.61224999427796,0.7,0.0,0.3,0.7,0,7,0,0
8,5,10,53,109.64781968593597,0.9,0.0,0.0,1.0,1,8,0,1
8,5,10,4,133.41177537441254,0.8,0.0,0.1,0.9,0,8,0,1
8,5,10,48,139.69142203330995,0.7,0.0,0.2,0.8,2,5,0,1
8,5,10,60,158.23791587352753,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,66,167.27862865924834,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,83,176.702188372612,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,74,183.4261979818344,0.6,0.0,0.2,0.8,0,6,0,2
8,5,10,43,421.32074456214906,0.7,0.0,0.2,0.8,0,7,0,1
8,5,10,59,445.09611275196073,0.9,0.0,0.0,1.0,0,9,0,1
8,5,10,44,1201.2635527849197,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,37,1433.823556113243,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,52,1462.195917916298,0.8,0.0,0.2,0.8,1,7,0,0
8,5,10,8,1595.9517443418504,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,3,1700.507573223114,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,17,1898.4206744670869,0.8,0.0,0.0,1.0,1,7,0,2
8,5,10,70,2288.541070771217,0.8,0.0,0.2,0.8,0,8,0,0
8,5,10,14,2398.547485470772,0.8,0.0,0.1,0.9,1,7,0,1
8,5,10,6,3152.385747718811,0.6,0.0,0.4,0.6,0,6,0,0
8,5,10,87,4451.317600393295,0.6,0.0,0.2,0.8,0,6,0,2
8,5,10,63,5202.723234438896,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,89,6050.067331814766,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,19,6548.939812302589,0.8,0.0,0.2,0.8,1,7,0,0
8,5,10,40,7129.5946410417555,0.9,0.0,0.0,1.0,1,8,0,1
8,5,10,79,8210.014609003067,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,90,8263.59382200241,0.8,0.0,0.1,0.9,0,8,0,1
8,5,10,46,10782.9135774374,0.9,0.0,0.1,0.9,0,9,0,0
8,5,10,61,11758.919426703453,0.6,0.0,0.3,0.7,0,6,0,1
8,5,10,30,14365.450784111023,0.9,0.0,0.1,0.9,2,7,0,0
8,5,10,96,17080.272330021857,0.8,0.0,0.0,1.0,0,8,0,2
