J,K,N,seed,avg_runtime,prop_identifiable,prop_non_identifiable,total_time,count_generator_empty,prop_generator_empty
30,4,10,68,1.1542497873306274,1.0,0.0,11.542497873306274,10,1.0
30,4,10,60,1.1444157838821412,1.0,0.0,11.444157838821411,10,1.0
30,4,10,81,0.005350470542907715,1.0,0.0,0.05350470542907715,10,1.0
30,4,10,82,0.005553984642028808,0.9,0.1,0.055539846420288086,9,0.9,1,0.1
30,4,10,85,0.008694911003112793,1.0,0.0,0.08694911003112793,10,1.0
30,4,10,95,0.006422615051269532,1.0,0.0,0.06422615051269531,10,1.0
30,4,10,90,0.01870706081390381,1.0,0.0,0.18707060813903809,10,1.0
30,4,10,99,0.008465766906738281,1.0,0.0,0.08465766906738281,10,1.0
30,4,10,86,0.021407723426818848,1.0,0.0,0.21407723426818848,10,1.0
30,4,10,93,0.020287108421325684,1.0,0.0,0.20287108421325684,10,1.0
30,4,10,87,0.023186302185058592,1.0,0.0,0.23186302185058594,10,1.0
30,4,10,80,0.008916044235229492,1.0,0.0,0.08916044235229492,10,1.0
30,4,10,96,0.021009325981140137,1.0,0.0,0.21009325981140137,10,1.0
30,4,10,84,0.03713724613189697,1.0,0.0,0.3713724613189697,10,1.0
30,4,10,97,0.03133482933044433,1.0,0.0,0.31334829330444336,10,1.0
30,4,10,88,0.05073304176330566,1.0,0.0,0.5073304176330566,10,1.0
30,4,10,92,0.030354976654052734,1.0,0.0,0.30354976654052734,10,1.0
30,4,10,91,0.027060651779174806,1.0,0.0,0.27060651779174805,10,1.0
30,4,10,98,0.16032564640045166,1.0,0.0,1.6032564640045166,10,1.0
30,4,10,89,0.2726556062698364,1.0,0.0,2.7265560626983643,10,1.0
30,4,10,83,1.0271140813827515,1.0,0.0,10.271140813827515,10,1.0
