J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
8,6,10,1,0.0001996755599975586,1.0,0.0,0.0,1.0,0,10,0,0
J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
8,6,10,0,0.00020530223846435547,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,6,0.00024805068969726565,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,3,0.00025653839111328125,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,5,0.00022304058074951172,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,14,0.00017120838165283204,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,11,0.0001737356185913086,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,12,0.0002044677734375,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,18,0.0002032756805419922,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,10,0.000251460075378418,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,20,0.00019481182098388672,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,28,0.0002186298370361328,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,27,0.00024182796478271483,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,29,0.00019812583923339844,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,30,0.0001864910125732422,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,24,0.0001861095428466797,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,26,0.00020039081573486328,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,25,0.00021440982818603515,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,37,0.00019671916961669922,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,36,0.00020821094512939452,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,39,0.00021698474884033204,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,38,0.00023245811462402344,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,41,0.000249481201171875,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,40,0.00022630691528320314,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,43,0.00025107860565185545,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,44,0.00024509429931640625,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,46,0.0002260446548461914,1.0,0.0,0.0,1.0,0,10,0,0
8,6,10,48,0.00020933151245117188,1.0,0.0,0.0,1.0,2,8,0,0
8,6,10,51,0.00020945072174072266,1.0,0.0,0.0,1.0,1,9,0,0
8,6,10,57,0.0001971721649169922,1.0,0.0,0.0,1.0,0,10,0,0
