J,K,N,seed,avg_runtime,prop_no_candidate,prop_generator_empty,prop_identifiable,prop_non_identifiable,count_trivial,count_two_column,count_generator_empty,count_candidate_found
7,6,10,2,0.00026018619537353515,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,6,0.00022618770599365235,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,5,0.00018317699432373046,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,0,0.0001893281936645508,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,1,0.00022916793823242189,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,13,0.00019948482513427735,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,11,0.00018553733825683595,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,14,0.00034270286560058596,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,8,0.00022132396697998046,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,9,0.0002208709716796875,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,10,0.00021445751190185547,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,16,0.00019516944885253907,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,20,0.00018880367279052734,1.0,0.0,0.0,1.0,1,9,0,0

7,6,10,21,0.0001994609832763672,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,17,0.00018165111541748046,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,19,0.00019099712371826172,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,18,0.00019440650939941406,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,24,0.0003413677215576172,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,25,0.00023829936981201172,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,29,0.0001733541488647461,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,30,0.00017714500427246094,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,27,0.000199127197265625,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,36,0.0002237558364868164,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,34,0.00021352767944335938,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,33,0.00022671222686767578,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,45,0.00020029544830322266,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,46,0.0002007007598876953,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,38,0.00020334720611572265,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,43,0.00019781589508056642,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,37,0.00031344890594482423,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,39,0.00018799304962158203,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,47,0.0001735687255859375,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,53,0.00023458003997802734,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,48,0.00021376609802246094,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,55,0.00019075870513916016,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,54,0.0001954793930053711,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,50,0.00019998550415039061,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,51,0.00022134780883789062,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,57,0.0001953601837158203,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,64,0.0002210378646850586,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,63,0.00019054412841796876,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,65,0.00018601417541503907,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,60,0.00019671916961669922,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,58,0.00018320083618164062,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,62,0.00020258426666259767,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,61,0.0002378225326538086,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,71,0.0001747608184814453,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,69,0.00019855499267578124,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,74,0.00018181800842285157,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,68,0.00019965171813964843,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,75,0.0002178668975830078,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,73,0.0003230571746826172,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,49,7.616271042823792,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,79,0.0002062082290649414,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,77,0.0001977682113647461,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,80,0.00018050670623779297,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,78,0.00019321441650390624,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,83,0.00017862319946289064,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,86,0.0002374887466430664,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,81,0.00024950504302978516,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,82,0.0003078222274780273,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,84,0.00020453929901123046,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,90,0.000201416015625,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,87,0.00021123886108398438,1.0,0.0,0.0,1.0,0,10,0,0
7,6,10,92,0.00021355152130126954,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,91,0.0002761363983154297,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,98,0.0001804351806640625,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,94,0.00020492076873779297,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,93,0.00019462108612060546,1.0,0.0,0.0,1.0,2,8,0,0
7,6,10,95,0.00017921924591064454,1.0,0.0,0.0,1.0,3,7,0,0
7,6,10,99,0.00018677711486816406,1.0,0.0,0.0,1.0,1,9,0,0
7,6,10,41,21.42855648994446,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,97,19.273775148391724,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,15,89.45888545513154,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,96,115.56796624660493,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,22,270.05500745773315,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,31,407.78286702632903,0.9,0.0,0.0,1.0,1,8,0,1
7,6,10,72,814.2713883161545,0.9,0.0,0.0,1.0,3,6,0,1
7,6,10,35,855.3750616788864,0.9,0.0,0.0,1.0,1,8,0,1
7,6,10,12,1073.9920251846313,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,89,1065.1393993139268,0.9,0.0,0.0,1.0,1,8,0,1
7,6,10,23,1120.4396517276764,0.9,0.0,0.0,1.0,2,7,0,1
7,6,10,88,1152.9167866468429,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,3,1675.6042639017105,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,42,1669.6042538881302,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,44,1889.9395086288453,0.9,0.0,0.0,1.0,1,8,0,1
7,6,10,32,3236.148950052261,0.9,0.0,0.0,1.0,0,9,0,1
7,6,10,85,12961.439774751663,0.9,0.0,0.0,1.0,0,9,0,1
