Matrix 0
0,0,0,1
0,0,1,0
0,1,0,1
0,1,1,0
1,0,0,0

Matrix 1
0,0,0,1
0,0,1,0
0,1,0,0
1,0,0,1
1,1,1,0

Matrix 2
0,0,0,1
0,0,1,0
0,1,0,0
1,0,1,0
1,1,0,1

Matrix 3
0,0,0,1
0,0,1,0
0,1,0,0
1,0,1,1
1,1,0,0

Matrix 4
0,0,0,1
0,0,1,1
0,1,0,1
0,1,1,0
1,0,0,0

Matrix 5
0,0,0,1
0,0,1,0
0,1,0,1
1,0,0,1
1,1,1,0

Matrix 6
0,0,0,1
0,0,1,0
0,1,0,1
1,0,1,0
1,1,0,0

Matrix 7
0,0,0,1
0,0,1,0
0,1,0,1
1,0,1,1
1,1,0,0

Matrix 8
0,0,0,1
0,0,1,0
0,1,1,0
1,0,0,1
1,1,0,0

Matrix 9
0,0,0,1
0,0,1,0
0,1,1,1
1,0,1,1
1,1,0,0

Matrix 10
0,0,0,1
0,0,1,1
0,1,0,1
1,0,0,1
1,1,1,0

Matrix 11
0,0,0,1
0,0,1,1
0,1,0,1
1,0,1,0
1,1,0,0

Matrix 12
0,0,0,1
0,0,1,1
0,1,1,0
1,0,0,1
1,1,0,0

Matrix 13
0,0,1,0
0,0,1,1
0,1,0,1
1,0,0,1
1,1,0,0

Matrix 14
0,0,0,1
0,0,1,1
0,1,1,0
1,0,1,0
1,1,0,1

Matrix 15
0,0,0,1
0,0,1,1
0,1,1,0
1,0,1,1
1,1,0,0

Matrix 16
0,0,1,1
0,1,0,1
0,1,1,0
1,0,0,1
1,0,1,0

Matrix 17
0,0,1,1
0,1,0,1
0,1,1,0
1,0,0,1
1,1,1,0

Matrix 18
0,0,1,1
0,1,0,1
0,1,1,0
1,0,1,0
1,1,0,1

Matrix 19
0,0,1,1
0,1,0,1
0,1,1,0
1,0,1,1
1,1,0,0

