solver,row_size_distribution,min_row_size,J,K,m,n,id_prop,id_mcse,mean_J_basis,sd_J_basis,mean_M_basis,sd_M_basis,complete_prop,complete_mcse,identity_basis_prop,two_col_violation_original_prop,two_col_violation_basis_prop,sat_called_prop,resolved_before_SAT_prop,mean_algorithm_time,median_algorithm_time,mean_preprocess_time,median_preprocess_time,mean_sat_time_all,median_sat_time_all,not_complete_prop,no_pure_prop,id_and_not_complete_prop,id_and_not_complete_mcse,not_complete_given_id,id_and_no_pure_prop,id_and_no_pure_mcse,no_pure_given_id,n_SAT,SAT_identifiable_prop,SAT_nonidentifiable_prop,mean_sat_time_given_SAT,median_sat_time_given_SAT,mean_algorithm_time_given_SAT,mean_J_basis_given_SAT,mean_M_basis_given_SAT
1,uniform,1.0,25,10,3.0,1000.0,0.641,0.01516967369457893,16.038,2.371957457919978,583.009,133.94506410913104,0.002,0.0014127986409959489,0.002,0.359,0.359,0.639,0.361,0.11222111541603223,0.1414809676352888,0.004106358593213322,0.0042477853130549,0.10807417843013535,0.1366997761651873,0.998,0.0,0.639,0.01518812035770062,0.9968798751950078,0.0,0.0,0.0,639.0,1.0,0.0,0.16913016968722278,0.1702278340235352,0.17423345372029792,16.56338028169014,640.2128325508608
1,uniform,1.0,25,10,4.0,1000.0,0.786,0.012969348480166612,18.545,2.2660781341582434,477.437,104.88890176140039,0.0,0.0,0.0,0.214,0.214,0.786,0.214,0.1342073028011946,0.1566574485041201,0.004710664497688364,0.0049541774205863,0.12946762249001767,0.15159479132853443,1.0,0.001,0.786,0.012969348480166612,1.0,0.001,0.0009994998749374609,0.001272264631043257,786.0,1.0,0.0,0.16471707695931,0.16362052760086948,0.16997815234395236,18.889312977099237,498.7391857506361
1,uniform,1.0,50,10,3.0,1000.0,0.992,0.0028170906978654425,16.621,4.236189833364915,930.862,71.22091950666862,0.117,0.010164201887015036,0.117,0.008,0.008,0.875,0.125,0.2278340070489794,0.23188681143801654,0.006207273653242687,0.0058556557632982,0.22161670593428426,0.22572586045134813,0.883,0.0,0.875,0.010458250331675944,0.8820564516129032,0.0,0.0,0.0,875.0,1.0,0.0,0.2532762353534677,0.2358098081313073,0.259845163645755,17.530285714285714,920.7554285714285
1,uniform,1.0,50,10,4.0,1000.0,0.999,0.0009994998749374613,20.975,4.715571186146126,850.803,86.19898175416843,0.021,0.004534203347888138,0.021,0.001,0.001,0.978,0.022,0.29962701945356096,0.2883270139573142,0.00794524688436645,0.00764633971266445,0.2916726813041605,0.28022496646735817,0.979,0.0,0.978,0.004638534251247911,0.978978978978979,0.0,0.0,0.0,978.0,1.0,0.0,0.2982338254643768,0.2840326620498672,0.3062843936847824,21.212678936605318,847.2627811860941
1,uniform,1.0,100,10,3.0,1000.0,1.0,0.0,11.964,3.3102358921475274,1019.021,10.692375128374755,0.703,0.014449602070645405,0.703,0.0,0.0,0.297,0.703,0.08723613915021994,0.00369574298383665,0.0045659014524425815,0.0036919302074238,0.08266407610825263,0.0,0.297,0.0,0.297,0.014449602070645405,0.297,0.0,0.0,0.0,297.0,1.0,0.0,0.2783302225867092,0.2623488302342593,0.2847534416781218,16.612794612794612,1007.2356902356902
1,uniform,1.0,100,10,4.0,1000.0,1.0,0.0,14.689,4.881814325751363,1004.208,24.648413342044684,0.422,0.01561781034588396,0.422,0.0,0.0,0.578,0.422,0.17330076702637598,0.2240354535169899,0.006063401029910841,0.0052294181659817,0.1672298995461315,0.2182871126569807,0.578,0.0,0.578,0.015617810345883958,0.578,0.0,0.0,0.0,578.0,1.0,0.0,0.2893250857199507,0.2691913319285959,0.2969285462407724,18.112456747404845,989.757785467128
