J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,10,10,0.5,46,0,0.00144841312430799,0.0001291278749704361,0.000856360886245966,0.0013885342050343752,0.000117054907605052,0.11548808007501066,19,0.11943381605669856,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,193,0.003939490998163819,0.005301021970808506
25,10,10,0.5,46,1,0.001798131037503481,9.876582771539688e-05,0.0010192429181188345,0.0013752281665802002,7.527507841587067e-05,0.17983350902795792,24,0.18421785184182227,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,210,0.004366643028333783,0.006632325006648898
25,10,10,0.5,46,2,0.0015989248640835285,9.812088683247566e-05,0.0009535839781165123,0.0013615598436444998,8.384720422327518e-05,0.08179040695540607,22,0.08589154109358788,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,177,0.0040960367769002914,0.005591294961050153
25,10,10,0.5,46,3,0.001265383092686534,9.465683251619339e-05,0.0008561571594327688,0.001367649994790554,7.103499956429005e-05,0.16492633218877017,19,0.16858621407300234,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,161,0.0036548820789903402,0.005428250879049301
25,10,10,0.5,46,4,0.0016080650966614485,9.67029482126236e-05,0.0009069419465959072,0.0013393920380622149,7.622409611940384e-05,0.06724556512199342,21,0.07127762003801763,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,173,0.004027326125651598,0.005317972972989082
25,10,10,0.5,46,5,0.0011878840159624815,0.00010567205026745796,0.00024323095567524433,0.0,0.0,0.0,19,0.0016361200250685215,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,135,0.0015367870219051838,0.004201892064884305
25,10,10,0.5,46,6,0.0010013401042670012,0.00010831886902451515,0.0009805059526115656,0.0013159511145204306,6.928318180143833e-05,0.314253092976287,20,0.31773288012482226,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,124,0.003475399222224951,0.005619636969640851
25,10,10,0.5,46,7,0.0013154551852494478,9.374390356242657e-05,0.0009153829887509346,0.001351956045255065,6.979494355618954e-05,0.14933975809253752,21,0.15309111308306456,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,146,0.0037463330663740635,0.0058414360973984
25,10,10,0.5,46,8,0.0012684471439570189,9.588594548404217e-05,0.0008745728991925716,0.0013640490360558033,7.456587627530098e-05,0.09338585194200277,20,0.0970677079167217,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,153,0.003677520900964737,0.00542956218123436
25,10,10,0.5,46,9,0.0016574128530919552,9.684218093752861e-05,0.0009429159108549356,0.0013626141007989645,7.549487054347992e-05,0.1429514940828085,22,0.14709155005402863,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,167,0.004135279916226864,0.0056195680517703295
