J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,5,10,0.9,22,0,0.00010089506395161152,0.00010230299085378647,0.00010358612053096294,9.737792424857616e-05,0.0,0.0,5,0.0005712509155273438,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0004041620995849371,0.0006321710534393787
50,5,10,0.9,22,1,8.702604100108147e-05,5.8955978602170944e-05,9.642099030315876e-05,6.234413012862206e-05,0.0,0.0,6,0.00044125504791736603,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0003047471400350332,0.000528629869222641
50,5,10,0.9,22,2,8.861604146659374e-05,6.007682532072067e-05,0.00010491209104657173,5.336501635611057e-05,0.0,0.0,6,0.0004468788392841816,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,8,0.0003069699741899967,0.0005432390607893467
50,5,10,0.9,22,3,0.00011071190237998962,5.816086195409298e-05,0.00012820586562156677,5.452008917927742e-05,0.0,0.0,8,0.0004931110888719559,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0003515987191349268,0.0005484779831022024
50,5,10,0.9,22,4,0.00014240597374737263,6.052292883396149e-05,0.00010574399493634701,3.998284228146076e-05,0.0,0.0,6,0.0005090071354061365,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0003486557397991419,0.0005424439441412687
50,5,10,0.9,22,5,9.049498476088047e-05,5.8135949075222015e-05,0.00010507088154554367,3.9156991988420486e-05,0.0,0.0,6,0.0004378058947622776,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,9,0.00029285880737006664,0.0005493101198226213
50,5,10,0.9,22,6,0.00010897102765738964,5.831313319504261e-05,0.00012105004861950874,0.00012352201156318188,6.48710411041975e-05,0.002431822009384632,7,0.003068429185077548,0,5,SAT_found_counterexample,1,0,1,0,1,0,0,0,13,0.0004767272621393204,0.0005793198943138123
50,5,10,0.9,22,7,8.959416300058365e-05,5.884398706257343e-05,9.703799150884151e-05,7.590698078274727e-05,0.0,0.0,5,0.0005126618780195713,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,12,0.00032138312235474586,0.0005367908161133528
50,5,10,0.9,22,8,7.338100112974644e-05,5.817599594593048e-05,5.730590783059597e-05,0.0,0.0,0.0,5,0.00033753085881471634,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,7,0.0001888629049062729,0.00034060305915772915
50,5,10,0.9,22,9,7.706996984779835e-05,5.853991024196148e-05,0.00010673888027667999,0.0,0.0,0.0,5,0.00039300904609262943,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,9,0.00024234876036643982,0.0004982259124517441
