J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,64,0,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.00562228006310761,0.00013510207645595074,0.0009082199539989233,0.0012808640021830797,0.00013284292072057724,0.21533761406317353,18,0.22343091596849263,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,830,0.00807930901646614,0.004539886023849249
50,10,10,64,1,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.005153660196810961,0.00010601500980556011,0.001157662132754922,0.0012499429285526276,7.969303987920284e-05,0.3695520181208849,25,0.3773067598231137,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,867,0.007746973307803273,0.005401125876232982
50,10,10,64,2,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0042681279592216015,0.00010524108074605465,0.0008999549318104982,0.0011290449183434248,7.70939514040947e-05,0.23105750302784145,18,0.23755236505530775,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,895,0.006479462841525674,0.004508964018896222
50,10,10,64,3,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.002907739020884037,8.827401325106621e-05,0.0006709108129143715,0.0012382070999592543,8.403905667364597e-05,0.17817234713584185,14,0.18316850997507572,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,888,0.004989170003682375,0.004377736011520028
50,10,10,64,4,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004280473105609417,8.997879922389984e-05,0.0008981230203062296,0.001143548171967268,8.24520830065012e-05,0.250249664997682,21,0.2567527268547565,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,865,0.006494575180113316,0.004925205837935209
50,10,10,64,5,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004250311991199851,8.966401219367981e-05,0.0007385190110653639,0.0012144369538873434,8.417991921305656e-05,0.21323296194896102,16,0.21961745410226285,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,978,0.006377111887559295,0.0044589408207684755
50,10,10,64,6,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.003996862098574638,8.854502812027931e-05,0.0008538479451090097,0.001130195101723075,7.406901568174362e-05,0.26411795895546675,19,0.2702685478143394,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,844,0.006143519189208746,0.004722865065559745
50,10,10,64,7,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004519995069131255,9.049498476088047e-05,0.0008674119599163532,0.0012130099348723888,8.10499768704176e-05,0.2698409699369222,20,0.2766210350673646,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,951,0.006771961925551295,0.00479619693942368
50,10,10,64,8,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.009739072993397713,9.205285459756851e-05,0.0011895361822098494,0.0012437219265848398,8.51720105856657e-05,0.40011701616458595,29,0.4124760201666504,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,753,0.012349555967375636,0.005467450944706798
50,10,10,64,9,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.008095300989225507,9.260186925530434e-05,0.0013221590779721737,0.0012437088880687952,8.904910646378994e-05,0.5378326140344143,33,0.5486839390359819,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,810,0.01084281993098557,0.006164530059322715
