J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
100,10,10,7,0,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004197048023343086,0.00011173216626048088,0.0007704310119152069,0.001218781340867281,2.0732637494802475e-05,0.21839132718741894,15,0.2247203951701522,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1012,0.0063187251798808575,0.004283317364752293
100,10,10,7,1,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004742020275443792,8.256221190094948e-05,0.0008647278882563114,0.0011689718812704086,2.048024907708168e-05,0.2603446557186544,20,0.26722884085029364,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,968,0.0068787625059485435,0.004640086088329554
100,10,10,7,2,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.003499905113130808,9.830296039581299e-05,0.0008145440369844437,0.0011882251128554344,1.76234170794487e-05,0.2517165122553706,16,0.25734116276726127,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,992,0.005618600640445948,0.004708460997790098
100,10,10,7,3,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.005647329147905111,9.565800428390503e-05,0.000772637315094471,0.0011866209097206593,1.6548670828342438e-05,0.217022982891649,15,0.22474742587655783,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1016,0.007718794047832489,0.004194498993456364
100,10,10,7,4,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0014597210101783276,9.623728692531586e-05,0.0005855360068380833,0.0012206342071294785,1.634424552321434e-05,0.0,10,0.0033821328543126583,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0033784727565944195,0.0037365341559052467
100,10,10,7,5,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.011095570866018534,8.010724559426308e-05,0.0011156466789543629,0.0011914968490600586,1.878710463643074e-05,0.4607345750555396,27,0.4742417889647186,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,991,0.013501608744263649,0.004946957807987928
100,10,10,7,6,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0035361102782189846,8.580880239605904e-05,0.0008678189478814602,0.0011977879330515862,1.930398866534233e-05,0.3056177468970418,20,0.31133063416928053,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,986,0.005706829950213432,0.0048212530091404915
100,10,10,7,7,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0014438428916037083,8.107302710413933e-05,0.0005083191208541393,0.0011650603264570236,1.637125387787819e-05,0.0,10,0.0032183597795665264,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0032146666198968887,0.0036309361457824707
100,10,10,7,8,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0014048600569367409,7.771514356136322e-05,0.0005016690120100975,0.0011787242256104946,1.4697201550006866e-05,0.0,10,0.0031811650842428207,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003177665639668703,0.003626651130616665
100,10,10,7,9,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.006271850783377886,7.926532998681068e-05,0.0010351771488785744,0.0011828532442450523,1.8369872123003006e-05,0.4600931238383055,25,0.4686857587657869,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,995,0.008587516378611326,0.00515398196876049
