J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,69,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.008653718046844006,0.00013036117888987064,0.0012307970318943262,0.0013194410130381584,0.00014247302897274494,0.4395813709124923,26,0.4510729219764471,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,869,0.011476790299639106,0.005573888076469302
50,10,10,69,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0037749679759144783,8.820299990475178e-05,0.000891268951818347,0.0012959789019078016,8.914899080991745e-05,0.2434133121278137,19,0.24956060806289315,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,811,0.006139567820355296,0.005193951074033976
50,10,10,69,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.003722741035744548,8.642789907753468e-05,0.0006684120744466782,0.0012905809562653303,8.961185812950134e-05,0.2070677641313523,14,0.21293368516489863,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1000,0.005857773823663592,0.004688805900514126
50,10,10,69,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.003540394827723503,8.587189950048923e-05,0.0006708838045597076,0.001273533096536994,8.443882688879967e-05,0.1986564020626247,14,0.20431895996443927,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,964,0.005655122455209494,0.004580741049721837
50,10,10,69,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016877860762178898,9.741890244185925e-05,0.0005896149668842554,0.0012896368280053139,8.188001811504364e-05,0.0,10,0.003750411095097661,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.003746336791664362,0.004184966906905174
50,10,10,69,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004024256952106953,8.217711001634598e-05,0.0007708349730819464,0.001289597013965249,7.561803795397282e-05,0.23222318617627025,17,0.238473478006199,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,934,0.006242484087124467,0.004915165947750211
50,10,10,69,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.00420878897421062,8.387304842472076e-05,0.0007388261146843433,0.0012695780023932457,8.219503797590733e-05,0.21412368211895227,16,0.22051398805342615,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,976,0.006383261177688837,0.004709071014076471
50,10,10,69,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.006530410144478083,8.794805034995079e-05,0.0009850470814853907,0.0013158801011741161,8.662091568112373e-05,0.3576649089809507,23,0.366678305901587,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,881,0.009005906293168664,0.005403560120612383
50,10,10,69,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.005165256094187498,8.560786955058575e-05,0.000669744098559022,0.001299732131883502,8.075102232396603e-05,0.2122650039382279,14,0.21957374596968293,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,988,0.007301091216504574,0.00468637584708631
50,10,10,69,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.001625353004783392,9.31739341467619e-05,0.0005940650589764118,0.0012369509786367416,7.693888619542122e-05,0.0,10,0.0036303671076893806,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036264818627387285,0.004103712039068341
