J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,5,10,0.7,67,0,0.0001345041673630476,8.050911128520966e-05,0.00013269600458443165,0.00014911708422005177,0.00010876799933612347,0.0031654220074415207,9,0.0037766520399600267,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,15,0.0006055943667888641,0.0006126090884208679
25,5,10,0.7,67,1,0.00010821595788002014,5.114101804792881e-05,0.00010768603533506393,0.00012932391837239265,7.489579729735851e-05,0.0025619948282837868,7,0.003037496004253626,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,22,0.00047126272693276405,0.0005773620214313269
25,5,10,0.7,67,2,0.00013519101776182652,5.465908907353878e-05,0.0001392960548400879,0.00011915992945432663,6.566103547811508e-05,0.003246031003072858,9,0.0037638130597770214,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,19,0.0005139671266078949,0.0005666350480169058
25,5,10,0.7,67,3,0.00011010491289198399,5.427096039056778e-05,0.00011943001300096512,0.00012003909796476364,6.496603600680828e-05,0.0021908178459852934,7,0.0026634761597961187,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,15,0.0004688110202550888,0.0005533138755708933
25,5,10,0.7,67,4,0.00011792103759944439,6.0963910073041916e-05,0.0001493929885327816,0.0,0.0,0.0,8,0.00041869794949889183,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,19,0.0003282779362052679,0.0005296438466757536
25,5,10,0.7,67,5,0.00010682712309062481,5.250005051493645e-05,0.00011923885904252529,0.00011991686187684536,6.401003338396549e-05,0.002357630990445614,7,0.002824032912030816,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,17,0.0004624929279088974,0.0005411659367382526
25,5,10,0.7,67,6,0.00010904017835855484,5.298992618918419e-05,0.00011846097186207771,9.854207746684551e-05,0.0,0.0,7,0.0004646030720323324,0,3,three_column_check_failed,0,0,1,1,0,0,0,0,16,0.00037903315387666225,0.0005141349975019693
25,5,10,0.7,67,7,0.00010903505608439445,5.2797840908169746e-05,0.00011810613796114922,0.00011901580728590488,6.419210694730282e-05,0.0021126889623701572,7,0.002656373893842101,0,5,SAT_found_counterexample,1,0,1,0,1,0,0,0,13,0.0004631469491869211,0.0005375661421567202
25,5,10,0.7,67,8,0.0001443750225007534,5.283416248857975e-05,0.00013814796693623066,0.00011981395073235035,6.5231928601861e-05,0.003400546032935381,9,0.0039249330293387175,1,6,SAT_unsat_identifiable,1,0,1,0,1,0,0,0,19,0.0005204030312597752,0.000562089029699564
25,5,10,0.7,67,9,0.00010759802535176277,5.361111834645271e-05,0.0001280729193240404,0.00011884793639183044,6.985082291066647e-05,0.002611636882647872,8,0.0030937218107283115,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,18,0.0004779808223247528,0.0005559858400374651
