J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,5,10,0.3,61,0,0.00013826601207256317,9.928201325237751e-05,0.0001097600907087326,0.00014876807108521461,0.00013368483632802963,0.0,5,0.0006350860930979252,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006297610234469175,0.0005502540152519941
50,5,10,0.3,61,1,0.0001259329728782177,6.758514791727066e-05,0.00010245689190924168,0.00012190593406558037,8.719996549189091e-05,0.0,5,0.00050901691429317,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005050809122622013,0.0004989420995116234
50,5,10,0.3,61,2,0.00013175210915505886,5.931896157562733e-05,9.985803626477718e-05,0.00012729992158710957,8.083204738795757e-05,0.0,5,0.0005031260661780834,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004990610759705305,0.0004967099521309137
50,5,10,0.3,61,3,0.0001845909282565117,5.571986548602581e-05,9.984895586967468e-05,0.00011815689504146576,7.346202619373798e-05,0.0,5,0.0005352718289941549,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005317786708474159,0.0005143019370734692
50,5,10,0.3,61,4,0.00012277299538254738,5.5516837164759636e-05,9.973207488656044e-05,0.00011823512613773346,7.25120771676302e-05,0.0,5,0.0004722750745713711,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004687691107392311,0.0004975011106580496
50,5,10,0.3,61,5,0.00011617504060268402,5.364092066884041e-05,9.79849137365818e-05,0.00012394902296364307,6.903009489178658e-05,0.0,5,0.00046423193998634815,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004607799928635359,0.0004883711226284504
50,5,10,0.3,61,6,0.00017272913828492165,5.4693082347512245e-05,0.00012744893319904804,0.00011749588884413242,7.060007192194462e-05,0.0040200320072472095,8,0.004567035008221865,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,31,0.000542967114597559,0.0005818491335958242
50,5,10,0.3,61,7,0.00012048706412315369,5.474104546010494e-05,0.00010011508129537106,0.00011819484643638134,7.077702321112156e-05,0.0,5,0.0004677178803831339,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004643150605261326,0.0004898521583527327
50,5,10,0.3,61,8,0.00012112804688513279,5.553802475333214e-05,0.00010147015564143658,0.0001194740179926157,7.622712291777134e-05,0.0,5,0.00047727907076478004,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00047383736819028854,0.0004913960583508015
50,5,10,0.3,61,9,0.0001156078651547432,5.323486402630806e-05,9.928084909915924e-05,0.00011587701737880707,6.962893530726433e-05,0.0,5,0.00045691896229982376,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004536295309662819,0.0005000389646738768
