J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,10,10,59,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0031391181983053684,0.0001022089272737503,0.0008984492160379887,0.0012512407265603542,2.376968041062355e-05,0.18163194367662072,20,0.18705328088253736,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,553,0.005414786748588085,0.004615627229213715
25,10,10,59,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.002116026356816292,8.224789053201675e-05,0.0006709019653499126,0.0012173587456345558,1.5289057046175003e-05,0.09975367598235607,14,0.10386097058653831,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,568,0.004101824015378952,0.003997219260782003
25,10,10,59,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.001981685869395733,8.476013317704201e-05,0.00037256116047501564,0.0,0.0,0.0,15,0.002525657881051302,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,398,0.0024390071630477905,0.0034068780951201916
25,10,10,59,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0022551394067704678,8.152192458510399e-05,0.0003075879067182541,0.0,0.0,0.0,16,0.002748149912804365,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,579,0.002644249238073826,0.0034441319294273853
25,10,10,59,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0011169654317200184,8.132914081215858e-05,0.00010164733976125717,0.0,0.0,0.0,11,0.0013947770930826664,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,480,0.0012999419122934341,0.0027482202276587486
25,10,10,59,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004252172075212002,0.00012911204248666763,0.0004517589695751667,0.0,0.0,0.0,19,0.004926472902297974,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,427,0.004833043087273836,0.004101303406059742
25,10,10,59,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.003677238244563341,8.010677993297577e-05,0.000928542111068964,0.0012278617359697819,1.6124919056892395e-05,0.19179809093475342,21,0.1977337682619691,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,550,0.005929873790591955,0.004882943816483021
25,10,10,59,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0030125537887215614,8.464790880680084e-05,0.0008887043222784996,0.0012346557341516018,1.742597669363022e-05,0.188585652038455,20,0.19382939441129565,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,604,0.005237987730652094,0.00483746686950326
25,10,10,59,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.03179556503891945,0.00010956078767776489,0.0007676798850297928,0.0012377947568893433,2.0459294319152832e-05,0.13744868617504835,16,0.17138748988509178,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,740,0.0339310597628355,0.004130300134420395
25,10,10,59,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017284862697124481,8.232332766056061e-05,8.346512913703918e-05,0.0,0.0,0.0,17,0.001971479970961809,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,381,0.001894274726510048,0.003160509280860424
