J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,86,0,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.00162424985319376,0.00013945205137133598,0.0005689950194209814,0.001150831812992692,0.00016813701950013638,0.0,10,0.003658086061477661,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036516657564789057,0.0038838491309434175
50,10,10,86,1,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0039244480431079865,9.414204396307468e-05,0.0008164311293512583,0.0011942251585423946,0.00011284393258392811,0.27902860078029335,19,0.2851952479686588,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,872,0.006142090307548642,0.006276603089645505
50,10,10,86,2,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0054590520448982716,0.0001078250352293253,0.0009402080904692411,0.0011185230687260628,0.00011488492600619793,0.2691092931199819,22,0.2768584170844406,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,723,0.007740493165329099,0.0048109188210219145
50,10,10,86,3,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004788012010976672,9.055202826857567e-05,0.0010535442270338535,0.0012668517883867025,0.00010251696221530437,0.3384734629653394,26,0.34578202897682786,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,780,0.007301477016881108,0.005510811926797032
50,10,10,86,4,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004494396969676018,9.006913751363754e-05,0.000915745971724391,0.0011589399073272943,8.997484110295773e-05,0.31375856418162584,22,0.32051558094099164,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,771,0.006749126827344298,0.005637401947751641
50,10,10,86,5,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004930976079776883,9.520305320620537e-05,0.0010172908660024405,0.0011001650709658861,0.0001051509752869606,0.2924259540159255,25,0.2996823210269213,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,718,0.007248786045238376,0.0054345629177987576
50,10,10,86,6,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0037788019981235266,9.044189937412739e-05,0.0008397919591516256,0.0011831552255898714,9.198184125125408e-05,0.2524413599167019,20,0.2584330649115145,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,851,0.005984172923490405,0.04171921103261411
50,10,10,86,7,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004404268926009536,9.610387496650219e-05,0.0008364880923181772,0.0010742978192865849,0.00010523595847189426,0.26627678610384464,20,0.27279979013837874,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,850,0.006516394671052694,0.004909472074359655
50,10,10,86,8,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.0043519288301467896,9.035598486661911e-05,0.0009420129936188459,0.0011921899858862162,9.66161023825407e-05,0.32977375015616417,23,0.33645432395860553,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,752,0.0066731038969010115,0.005641035037115216
50,10,10,86,9,1,conj,row_sparsity,,4,1,uniform,1;2;3;4,,0.004313742974773049,8.81231389939785e-05,0.0008424201514571905,0.001072977902367711,8.665397763252258e-05,0.23423701408319175,20,0.24064786406233907,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,811,0.006403918145224452,0.004765388090163469
