J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,5,10,0.9,65,0,0.00011686678044497967,0.00010248995386064053,0.00011432101018726826,0.00017142295837402344,0.0,0.0,6,0.0006706260610371828,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0005051007028669119,0.0006449308712035418
50,5,10,0.9,65,1,8.866516873240471e-05,5.643395707011223e-05,0.00011640507727861404,0.0,0.0,0.0,6,0.00041216914542019367,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,8,0.000261504203081131,0.0005450139287859201
50,5,10,0.9,65,2,8.612382225692272e-05,5.426607094705105e-05,0.00010494398884475231,5.367002449929714e-05,0.0,0.0,6,0.00044274795800447464,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,8,0.0002990039065480232,0.0005141349975019693
50,5,10,0.9,65,3,9.235693141818047e-05,5.439785309135914e-05,0.00011016405187547207,9.454088285565376e-05,0.0,0.0,6,0.0004979080986231565,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,9,0.00035145971924066544,0.0005014978814870119
50,5,10,0.9,65,4,8.856202475726604e-05,5.3342897444963455e-05,0.00010485202074050903,7.400102913379669e-05,0.0,0.0,6,0.00046824896708130836,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,10,0.0003207579720765352,0.0005093819927424192
50,5,10,0.9,65,5,0.00016683898866176605,5.538901314139366e-05,0.00010535400360822678,9.536603465676308e-05,0.0,0.0,6,0.0006168580148369074,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.00042294804006814957,0.0005089198239147663
50,5,10,0.9,65,6,9.178509935736656e-05,5.2652088925242424e-05,0.00011040410026907921,9.453203529119492e-05,0.0,0.0,6,0.0005046459846198559,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,10,0.0003493733238428831,0.000500404043123126
50,5,10,0.9,65,7,0.00011029979214072227,5.35380095243454e-05,0.00011534290388226509,6.511411629617214e-05,0.0,0.0,7,0.000488888006657362,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,13,0.0003442948218435049,0.0005154188256710768
50,5,10,0.9,65,8,0.00010225200094282627,5.383603274822235e-05,0.00011362996883690357,0.000106004998087883,0.0,0.0,7,0.0005275229923427105,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,12,0.0003757230006158352,0.0005267390515655279
50,5,10,0.9,65,9,0.00010353606194257736,5.354313179850578e-05,0.00012051896192133427,0.00012687593698501587,0.0,0.0,7,0.0005511068738996983,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,11,0.0004044740926474333,0.0005057239904999733
