J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,10,10,0.9,98,0,0.00016713107470422983,6.389699410647154e-05,0.0,0.0,0.0,0.0,10,0.000368130044080317,0,1,all_one_column,0,0,1,0,1,1,0,1,15,0.00023102806881070137,0.003244085004553199
25,10,10,0.9,98,1,0.0001710830256342888,3.590702544897795e-05,0.0,0.0,0.0,0.0,10,0.0003302020486444235,0,1,all_one_column,0,0,1,0,1,1,0,1,16,0.00020699005108326674,0.0029912469908595085
25,10,10,0.9,98,2,0.0001473299926146865,8.743698708713055e-05,0.0,0.0,0.0,0.0,10,0.0003468790091574192,0,1,all_one_column,0,0,1,0,1,1,0,1,13,0.00023476697970181704,0.002950705005787313
25,10,10,0.9,98,3,0.00015306193381547928,0.0,0.0,0.0,0.0,0.0,9,0.0002876049838960171,0,-1,basis_J_less_than_K,0,0,1,0,1,1,0,1,18,0.00015306193381547928,0.002660048077814281
25,10,10,0.9,98,4,0.0002203530166298151,9.399605914950371e-05,0.0006853300146758556,0.0001500650541856885,0.0,0.0,12,0.0012574580032378435,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,20,0.001149744144640863,0.004225195967592299
25,10,10,0.9,98,5,0.00010424596257507801,0.0,0.0,0.0,0.0,0.0,6,0.00023544300347566605,0,-1,basis_J_less_than_K,0,0,1,0,1,1,0,1,12,0.00010424596257507801,0.002002525026910007
25,10,10,0.9,98,6,0.00019854295533150434,9.289896115660667e-05,0.00016934506129473448,0.0,0.0,0.0,12,0.0005617630667984486,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,19,0.0004607869777828455,0.003535095020197332
25,10,10,0.9,98,7,0.00011074601206928492,0.0,0.0,0.0,0.0,0.0,8,0.0002322569489479065,0,-1,basis_J_less_than_K,0,0,1,0,1,1,0,1,10,0.00011074601206928492,0.0023719730088487267
25,10,10,0.9,98,8,0.00020080897957086563,9.506207425147295e-05,0.0006329559255391359,6.199604831635952e-05,0.0,0.0,11,0.0011029760353267193,0,3,three_column_check_failed,0,0,1,0,1,0,0,0,19,0.000990823027677834,0.004241461982019246
25,10,10,0.9,98,9,0.00023748003877699375,9.42799961194396e-05,7.893494330346584e-05,0.0,0.0,0.0,11,0.0005398379871621728,0,2,two_column_check_failed,0,0,1,0,1,1,0,1,24,0.0004106949781998992,0.003094312036409974
