J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,10,10,0.1,18,0,0.0017856520134955645,0.00011858809739351273,0.0001874470617622137,0.0,0.0,0.0,13,0.0021778899244964123,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,600,0.002091687172651291,0.0035902890376746655
25,10,10,0.1,18,1,0.00020889192819595337,0.0,0.0,0.0,0.0,0.0,8,0.00027995998971164227,0,-1,basis_J_less_than_K,0,1,0,1,0,1,0,1,55,0.00020889192819595337,0.0023626210168004036
25,10,10,0.1,18,2,0.0016490928828716278,1.8845079466700554e-05,0.0,0.0,0.0,0.0,13,0.0017546180170029402,0,0,all_zero_column,0,0,1,1,0,1,0,1,340,0.0016679379623383284,0.002992436056956649
25,10,10,0.1,18,3,0.0005664038471877575,2.9558083042502403e-05,0.0,0.0,0.0,0.0,10,0.0006653079763054848,0,0,all_zero_column,0,1,0,1,0,1,0,1,180,0.0005959619302302599,0.002743976190686226
25,10,10,0.1,18,4,0.0004479701165109873,0.0,0.0,0.0,0.0,0.0,9,0.0005205899942666292,0,-1,basis_J_less_than_K,0,1,0,1,0,1,0,1,240,0.0004479701165109873,0.0027734211180359125
25,10,10,0.1,18,5,0.0006636918988078833,0.0,0.0,0.0,0.0,0.0,9,0.0007583987899124622,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,384,0.0006636918988078833,0.002681446960195899
25,10,10,0.1,18,6,0.00026392005383968353,0.0,0.0,0.0,0.0,0.0,8,0.0003225489053875208,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,96,0.00026392005383968353,0.002505525015294552
25,10,10,0.1,18,7,0.0004208451136946678,0.0,0.0,0.0,0.0,0.0,9,0.0004898719489574432,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,168,0.0004208451136946678,0.0026977979578077793
25,10,10,0.1,18,8,0.00038471794687211514,0.0,0.0,0.0,0.0,0.0,8,0.0004587741568684578,0,-1,basis_J_less_than_K,0,1,0,1,0,1,0,1,144,0.00038471794687211514,0.002424892969429493
25,10,10,0.1,18,9,0.0003702880349010229,0.0,0.0,0.0,0.0,0.0,8,0.0004501489456743002,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,192,0.0003702880349010229,0.00254212599247694
