J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,5,10,0.5,33,0,0.00018806196749210358,9.637395851314068e-05,0.00012616394087672234,0.0001607108861207962,0.00013414118438959122,0.004015797050669789,8,0.004726780811324716,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,31,0.000705451937392354,0.0006294678896665573
50,5,10,0.5,33,1,0.0001443109940737486,5.192100070416927e-05,0.00010910304263234138,0.00012713088653981686,7.430394180119038e-05,0.002878223080188036,7,0.0033888909965753555,1,6,SAT_unsat_identifiable,1,1,0,1,0,0,0,0,29,0.0005067698657512665,0.0005888838786631823
50,5,10,0.5,33,2,0.00017018895596265793,5.603395402431488e-05,0.00013081589713692665,0.0001228370238095522,7.220800034701824e-05,0.003511392045766115,8,0.004067589063197374,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,31,0.0005520838312804699,0.0005730791017413139
50,5,10,0.5,33,3,0.00018237298354506493,5.618389695882797e-05,0.00013040914200246334,0.00011872895993292332,7.185991853475571e-05,0.00343702407553792,8,0.00400062114931643,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,31,0.0005595549009740353,0.0005704488139599562
50,5,10,0.5,33,4,0.00018298905342817307,5.010981112718582e-05,0.00013424200005829334,0.00012498884461820126,7.183500565588474e-05,0.004797132918611169,10,0.005365160992369056,1,6,SAT_unsat_identifiable,1,1,0,1,0,0,0,0,30,0.0005641647148877382,0.0005937491077929735
50,5,10,0.5,33,5,0.00012548593804240227,5.6097982451319695e-05,0.0001003919169306755,0.00012007588520646095,7.216096855700016e-05,0.0,5,0.00047777709551155567,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004742126911878586,0.0005131131038069725
50,5,10,0.5,33,6,0.00015994510613381863,5.509215407073498e-05,0.00012697302736341953,0.00012232502922415733,7.247901521623135e-05,0.0027375449426472187,7,0.0032785001676529646,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,30,0.0005368143320083618,0.0005703989882022142
50,5,10,0.5,33,7,0.0001702778972685337,5.5541982874274254e-05,0.00012916699051856995,0.00011992896907031536,7.14980997145176e-05,0.003354053944349289,8,0.00390441482886672,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,31,0.0005464139394462109,0.0005622250027954578
50,5,10,0.5,33,8,0.0001239469274878502,5.5748969316482544e-05,0.00010066991671919823,0.00011981814168393612,7.123011164367199e-05,0.0,5,0.0004748848732560873,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00047141406685113907,0.0005007910076528788
50,5,10,0.5,33,9,0.0001521431840956211,5.56230079382658e-05,0.00011952407658100128,0.00012060487642884254,7.110182195901871e-05,0.002774938941001892,7,0.003297674935311079,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,29,0.0005189969670027494,0.0005607539787888527
