J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
100,5,10,0.5,44,0,0.00016414513811469078,8.921395055949688e-05,0.00010458310134708881,0.00014345883391797543,0.00011810706928372383,0.0,5,0.0006245258264243603,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006195080932229757,0.0005370499566197395
100,5,10,0.5,44,1,0.00018960190936923027,6.352784112095833e-05,9.705498814582825e-05,0.00012030778452754021,8.18357802927494e-05,0.0,5,0.000555866863578558,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005523283034563065,0.000496711116284132
100,5,10,0.5,44,2,0.00013699918054044247,5.861814133822918e-05,9.664404205977917e-05,0.00011980789713561535,7.01509416103363e-05,0.0,5,0.0004852619022130966,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00048222020268440247,0.0004934659227728844
100,5,10,0.5,44,3,0.0001325630582869053,6.12789299339056e-05,9.570689871907234e-05,0.00011671101674437523,6.865104660391808e-05,0.0,5,0.00047800084576010704,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00047491095028817654,0.00048293895088136196
100,5,10,0.5,44,4,0.00013781897723674774,5.721487104892731e-05,9.566009975969791e-05,0.00011817715130746365,6.880192086100578e-05,0.0,5,0.0004808809608221054,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004776730202138424,0.0004949609283357859
100,5,10,0.5,44,5,0.00013153604231774807,5.852198228240013e-05,9.463517926633358e-05,0.00011597597040235996,6.917305290699005e-05,0.0,5,0.0004730289801955223,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004698422271758318,0.0004911029245704412
100,5,10,0.5,44,6,0.00014850194565951824,4.7555891796946526e-05,8.287094533443451e-05,0.00010224594734609127,6.568804383277893e-05,0.0,5,0.00044969492591917515,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004468627739697695,0.0004828190430998802
100,5,10,0.5,44,7,0.0001356028951704502,4.6724919229745865e-05,8.281087502837181e-05,0.00010205106809735298,6.0061924159526825e-05,0.0,5,0.0004300891887396574,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004272516816854477,0.00048716599121689796
100,5,10,0.5,44,8,0.00013712095096707344,5.779811181128025e-05,9.903288446366787e-05,0.00011689611710608006,6.81199599057436e-05,0.0,5,0.00048193917609751225,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004789680242538452,0.00048205512575805187
100,5,10,0.5,44,9,0.00012969900853931904,5.788612179458141e-05,9.512389078736305e-05,0.00011492916382849216,6.840587593615055e-05,0.0,5,0.0004690058995038271,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004660440608859062,0.0004896807949990034
