J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
100,10,10,60,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017525339499115944,0.00010660011321306229,0.0005519771948456764,0.0013022609055042267,2.2009946405887604e-05,0.0,10,0.003741638269275427,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0037353821098804474,0.0040983110666275024
100,10,10,60,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016723251901566982,0.00010044127702713013,0.0005893129855394363,0.0012783282436430454,1.7086975276470184e-05,0.0,10,0.0036613261327147484,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0036574946716427803,0.004006559029221535
100,10,10,60,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016159238293766975,9.35201533138752e-05,0.0005903150886297226,0.0012676031328737736,1.657707616686821e-05,0.0,10,0.0035874508321285248,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003583939280360937,0.00398042518645525
100,10,10,60,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016174293123185635,9.40738245844841e-05,0.000597215723246336,0.0012778909876942635,1.6759615391492844e-05,0.0,10,0.0036075199022889137,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.00360336946323514,0.003979688044637442
100,10,10,60,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016112569719552994,9.186519309878349e-05,0.0005955011583864689,0.0012731482274830341,1.6334932297468185e-05,0.0,10,0.003591604996472597,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003588106483221054,0.0039976369589567184
100,10,10,60,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004099056590348482,8.469400927424431e-05,0.0007834909483790398,0.0011542239226400852,1.6549136489629745e-05,0.2963137091137469,17,0.30246578995138407,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1019,0.006138014607131481,0.005120954941958189
100,10,10,60,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017203348688781261,0.00010034209117293358,0.000610126182436943,0.0012982557527720928,1.7715152353048325e-05,0.0,10,0.0037508527748286724,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003746774047613144,0.00400969386100769
100,10,10,60,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016435934230685234,9.500188753008842e-05,0.000590955838561058,0.001250539906322956,1.6320031136274338e-05,0.0,10,0.0036000111140310764,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0035964110866189003,0.004000404849648476
100,10,10,60,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016373959369957447,9.464379400014877e-05,0.0005982988514006138,0.0012841299176216125,1.6596633940935135e-05,0.0,10,0.0036346781998872757,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003631065133959055,0.0040191649459302425
100,10,10,60,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016139689832925797,9.444495663046837e-05,0.0005922061391174793,0.001273714005947113,1.64019875228405e-05,0.0,10,0.0035942038521170616,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003590736072510481,0.003941352013498545
