J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,20,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.005502614891156554,0.00011523696593940258,0.0010548129212111235,0.0012951481621712446,0.00012776418589055538,0.2638971300330013,20,0.2720053920056671,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,900,0.00809557712636888,0.005043545039370656
50,10,10,20,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0067294989712536335,0.00018350197933614254,0.0009352860506623983,0.0011376629117876291,0.0002671328838914633,0.27279285597614944,19,0.2820682190358639,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,918,0.009253082796931267,0.0049374219961464405
50,10,10,20,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004577497951686382,8.22148285806179e-05,0.000851023942232132,0.0011003180406987667,7.604295387864113e-05,0.2759323129430413,18,0.28262666589580476,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,946,0.00668709771707654,0.004934878088533878
50,10,10,20,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004963770043104887,8.294498547911644e-05,0.0008482569828629494,0.0010822159238159657,7.3201023042202e-05,0.24956916412338614,18,0.25662675010971725,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,946,0.0070503889583051205,0.004874353995546699
50,10,10,20,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.005437910091131926,8.310400880873203e-05,0.0009171369019895792,0.0010894278530031443,7.795100100338459e-05,0.2489308980293572,20,0.2565432698465884,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,882,0.007605529855936766,0.004925917834043503
50,10,10,20,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.003381633898243308,8.260994218289852e-05,0.0006929130759090185,0.0011072251945734024,7.35139474272728e-05,0.19704754115082324,14,0.20239275298081338,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,988,0.0053378960583359,0.004550002049654722
50,10,10,20,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0030399980023503304,8.433102630078793e-05,0.0006990740075707436,0.0010870399419218302,7.488485425710678e-05,0.1772377099841833,14,0.18222929793410003,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,880,0.004985327832400799,0.004580524982884526
50,10,10,20,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016496449243277311,9.108684025704861e-05,0.0006074369885027409,0.0012214528396725655,7.889699190855026e-05,0.0,10,0.003652402199804783,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036485185846686363,0.004043153021484613
50,10,10,20,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0028882198967039585,8.023111149668694e-05,0.0006885649636387825,0.0010888781398534775,6.856396794319153e-05,0.19708256097510457,14,0.2019034919794649,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,988,0.004814458079636097,0.004699318902567029
50,10,10,20,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0021403480786830187,9.115412831306458e-05,0.000730304978787899,0.00119198695756495,8.521112613379955e-05,0.17976252688094974,13,0.18400928005576134,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,952,0.004239005269482732,0.0044824471697211266
