J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
100,5,10,0.1,77,0,0.0001424429938197136,9.706197306513786e-05,0.00010559195652604103,0.00015145190991461277,0.00012625893577933311,0.0,5,0.0006282511167228222,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006228077691048384,0.0005486409645527601
100,5,10,0.1,77,1,0.00016244896687567234,5.546002648770809e-05,8.587492629885674e-05,0.00013061310164630413,8.144206367433071e-05,0.0,5,0.0005191371310502291,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000515839084982872,0.0005101540591567755
100,5,10,0.1,77,2,0.0001208160538226366,5.2767107263207436e-05,8.684792555868626e-05,0.0001304340548813343,7.675704546272755e-05,0.0,5,0.0004706319887191057,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00046762218698859215,0.0004976820200681686
100,5,10,0.1,77,3,0.00011956016533076763,6.787385791540146e-05,0.00010051601566374302,0.00013708299957215786,8.552893996238708e-05,0.0,5,0.0005140639841556549,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000510561978444457,0.0005122830625623465
100,5,10,0.1,77,4,0.00011982605792582035,5.10259997099638e-05,8.696108125150204e-05,0.00012759794481098652,7.203500717878342e-05,0.0,5,0.0004603371489793062,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004574460908770561,0.0005128530319780111
100,5,10,0.1,77,5,0.0001350210513919592,4.967395216226578e-05,8.553406223654747e-05,0.00012797699309885502,7.018097676336765e-05,0.0,5,0.00047135399654507637,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004683870356529951,0.0004961858503520489
100,5,10,0.1,77,6,0.00012950599193572998,4.950910806655884e-05,8.445791900157928e-05,0.00012770900502800941,6.981496699154377e-05,0.0,5,0.0004638510290533304,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004609969910234213,0.0005076609086245298
100,5,10,0.1,77,7,0.0001339181326329708,4.9174996092915535e-05,8.559715934097767e-05,0.0001066459808498621,6.182398647069931e-05,0.0,5,0.00044003594666719437,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004371602553874254,0.0004864088259637356
100,5,10,0.1,77,8,0.00012505101040005684,4.898593761026859e-05,8.597993291914463e-05,0.00010661804117262363,6.930297240614891e-05,0.0,5,0.0004388031084090471,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004359378945082426,0.0004926139954477549
100,5,10,0.1,77,9,0.0001234819646924734,4.9628084525465965e-05,8.534104563295841e-05,0.00012699305079877377,7.071113213896751e-05,0.0,5,0.0004591839388012886,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00045615527778863907,0.0005095740780234337
