J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,5,10,0.1,40,0,0.0001034061424434185,8.36830586194992e-05,9.785988368093967e-05,0.00015228893607854843,0.00013055815361440182,0.0,5,0.0005724919028580189,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0005677961744368076,0.0005390939768403769
25,5,10,0.1,40,1,5.8445148169994354e-05,0.0,0.0,0.0,0.0,0.0,4,9.86349768936634e-05,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,7,5.8445148169994354e-05,0.0003023538738489151
25,5,10,0.1,40,2,8.3128921687603e-05,5.7097990065813065e-05,5.9276120737195015e-05,0.0,0.0,0.0,5,0.0002298529725521803,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,18,0.00019950303249061108,0.0003496671561151743
25,5,10,0.1,40,3,0.0001182439737021923,5.680392496287823e-05,0.00010747998021543026,0.00012055295519530773,7.15919304639101e-05,0.002677554963156581,6,0.0031562771182507277,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,28,0.00047467276453971863,0.0005681398324668407
25,5,10,0.1,40,4,8.136196993291378e-05,5.633407272398472e-05,3.7519028410315514e-05,0.0,0.0,0.0,5,0.00021680514328181744,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,18,0.000175215071067214,0.00030513503588736057
25,5,10,0.1,40,5,6.672018207609653e-05,0.0,0.0,0.0,0.0,0.0,4,0.00010877405293285847,0,-1,basis_J_less_than_K,0,1,0,1,0,1,0,1,10,6.672018207609653e-05,0.0002402749378234148
25,5,10,0.1,40,6,6.379908882081509e-05,0.0,0.0,0.0,0.0,0.0,4,0.00010680197738111019,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,16,6.379908882081509e-05,0.0002413671463727951
25,5,10,0.1,40,7,9.047193452715874e-05,5.578412674367428e-05,9.712995961308479e-05,0.00011820695362985134,7.072603330016136e-05,0.0,5,0.00043560401536524296,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004323190078139305,0.0004958510398864746
25,5,10,0.1,40,8,9.16970893740654e-05,5.53641002625227e-05,9.895488619804382e-05,0.00011971103958785534,7.086386904120445e-05,0.0,5,0.00043998192995786667,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004365909844636917,0.00048731290735304356
25,5,10,0.1,40,9,8.84809996932745e-05,5.703396163880825e-05,9.848317131400108e-05,0.00012039812281727791,7.001892663538456e-05,0.0,5,0.0004377621226012707,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0004344151820987463,0.000492829130962491
