J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,5,10,0.5,55,0,0.00017395708709955215,0.0001040799543261528,0.00016088318079710007,0.00014835293404757977,0.0001271639484912157,0.0042890990152955055,9,0.0050100781954824924,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,24,0.0007144371047616005,0.0006995310541242361
25,5,10,0.5,55,1,0.00014267885126173496,6.591598503291607e-05,0.00012543611228466034,0.00012937490828335285,8.769705891609192e-05,0.0033573780674487352,8,0.003913480089977384,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,28,0.0005511029157787561,0.0006440109573304653
25,5,10,0.5,55,2,0.00015944591723382473,6.537907756865025e-05,0.00014464487321674824,0.00012117112055420876,9.283679537475109e-05,0.0034799149725586176,9,0.004069001879543066,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,22,0.0005834777839481831,0.0006399392150342464
25,5,10,0.5,55,3,0.0001353460829705,6.328010931611061e-05,0.00011730287224054337,0.0001230358611792326,8.150096982717514e-05,0.0022625289857387543,6,0.002788187935948372,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,28,0.0005204658955335617,0.0006183269433677197
25,5,10,0.5,55,4,0.0001618601381778717,6.250501610338688e-05,0.0001350871752947569,0.00012068799696862698,8.062203414738178e-05,0.0032182459253817797,8,0.003784006927162409,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,27,0.0005607623606920242,0.0006290720775723457
25,5,10,0.5,55,5,0.0001581811811774969,6.379908882081509e-05,0.00013690697960555553,0.0001232200302183628,8.110003545880318e-05,0.0032879640348255634,8,0.003856479190289974,1,6,SAT_unsat_identifiable,1,1,0,1,0,0,0,0,28,0.0005632073152810335,0.0006270299199968576
25,5,10,0.5,55,6,0.00013185106217861176,6.650295108556747e-05,0.00012692995369434357,0.00011960789561271667,8.206209167838097e-05,0.002397655975073576,7,0.0029294900596141815,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,22,0.0005269539542496204,0.0005964918527752161
25,5,10,0.5,55,7,0.0001506840344518423,6.520003080368042e-05,0.0001463091466575861,0.00012874393723905087,8.189096115529537e-05,0.0033223112113773823,9,0.00390068581327796,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,21,0.0005728281103074551,0.000635175034403801
25,5,10,0.5,55,8,0.00014450796879827976,7.06440769135952e-05,0.0001357588917016983,0.00012055900879204273,8.209794759750366e-05,0.0031822780147194862,8,0.0037409260403364897,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,24,0.0005535678938031197,0.000626745168119669
25,5,10,0.5,55,9,0.00014494010247290134,6.485613994300365e-05,0.00013483501970767975,0.00012133107520639896,8.263811469078064e-05,0.0027437610551714897,8,0.0032970791216939688,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,19,0.0005486004520207644,0.0006091240793466568
