J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
50,10,10,12,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0018466201145201921,0.00011603697203099728,0.0006412491202354431,0.0012743109837174416,0.0001254160888493061,0.17619592091068625,11,0.18021168699488044,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,896,0.00400363327935338,0.00445725885219872
50,10,10,12,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016090639401227236,9.70249529927969e-05,0.0005938750691711903,0.0012457750272005796,7.987907156348228e-05,0.0,10,0.0036296159960329533,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,1024,0.0036256180610507727,0.0040388391353189945
50,10,10,12,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.003402695059776306,8.148606866598129e-05,0.0006805160082876682,0.001257936004549265,7.57100060582161e-05,0.23402878595516086,14,0.2395332830492407,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1000,0.005498343147337437,0.0046468740329146385
50,10,10,12,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.006554247811436653,8.435803465545177e-05,0.0011251310352236032,0.0012507610954344273,8.214800618588924e-05,0.41746679600328207,26,0.42657054495066404,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,814,0.009096645982936025,0.005684069823473692
50,10,10,12,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0022115730680525303,8.726702071726322e-05,0.0006065641064196825,0.001241199905052781,8.02651047706604e-05,0.1703233909793198,12,0.17455657199025154,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,880,0.0042268692050129175,0.004420960787683725
50,10,10,12,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0027889159973710775,8.231704123318195e-05,0.0006380800623446703,0.0,0.0,0.0,14,0.0037905769422650337,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,660,0.00350931310094893,0.004261722089722753
50,10,10,12,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0029720489401370287,8.071912452578545e-05,0.0008261690381914377,0.0012444669846445322,7.502781227231026e-05,0.22301595890894532,18,0.22822058899328113,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,902,0.005198431899771094,0.0050878392066806555
50,10,10,12,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.006484610959887505,8.910801261663437e-05,0.001126307062804699,0.0012772860936820507,9.212782606482506e-05,0.43937608203850687,26,0.4484522771090269,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,920,0.009069439955055714,0.005708505865186453
50,10,10,12,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.006050008116289973,8.378899656236172e-05,0.0012011711951345205,0.0012538309674710035,8.118012920022011e-05,0.42743034986779094,28,0.43610831000842154,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,808,0.00866997940465808,0.006287480937317014
50,10,10,12,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.006141990888863802,8.361507207155228e-05,0.0008314391598105431,0.001245531952008605,7.90921039879322e-05,0.20604714495129883,18,0.21444196510128677,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,792,0.008381669176742435,0.0051347489934414625
