J,K,N,seed,sim,solver,op,design,p,m,min_row_size,row_size_distribution,row_size_support,row_size_probs,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
100,10,10,83,0,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017711441032588482,0.00012620585039258003,0.0005791680887341499,0.0012916377745568752,2.2970139980316162e-05,0.0,10,0.003796124830842018,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0037911259569227695,0.004134772811084986
100,10,10,83,1,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004470896907150745,8.383067324757576e-05,0.0007263817824423313,0.0012591229751706123,1.867394894361496e-05,0.2548229661770165,16,0.2613957622088492,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1020,0.00655890628695488,0.005042861215770245
100,10,10,83,2,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017308457754552364,0.00010369531810283661,0.0005776030011475086,0.0012645870447158813,1.7890706658363342e-05,0.0,10,0.003698846325278282,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0036946218460798264,0.003988014068454504
100,10,10,83,3,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016296920366585255,9.103910997509956e-05,0.0005712532438337803,0.001248746644705534,1.649698242545128e-05,0.0,10,0.0035607130266726017,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0035572280175983906,0.003986346069723368
100,10,10,83,4,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0016221636906266212,9.063910692930222e-05,0.0005740928463637829,0.001235423143953085,1.628883183002472e-05,0.0,10,0.003542106132954359,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003538607619702816,0.00399888027459383
100,10,10,83,5,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.001628262922167778,9.113596752285957e-05,0.0005680490285158157,0.0012389188632369041,1.6479287296533585e-05,0.0,10,0.0035462011583149433,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.003542846068739891,0.00402337871491909
100,10,10,83,6,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0029308809898793697,8.1636942923069e-05,0.0006898213177919388,0.0012529580853879452,1.778220757842064e-05,0.22992588812485337,15,0.23490480380132794,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,1004,0.004973079543560743,0.0047491989098489285
100,10,10,83,7,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017382493242621422,9.276485070586205e-05,0.0005745328962802887,0.0012656659819185734,1.843087375164032e-05,0.0,10,0.0036936169490218163,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.0036896439269185066,0.004029394127428532
100,10,10,83,8,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.004369792994111776,8.279690518975258e-05,0.0008693891577422619,0.0012758737429976463,1.961132511496544e-05,0.3289683125913143,20,0.33559189084917307,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,979,0.006617464125156403,0.005169783718883991
100,10,10,83,9,1,conj,row_sparsity,,3,1,uniform,1;2;3,,0.0017058849334716797,9.416276589035988e-05,0.0005764681845903397,0.0012285420671105385,1.8081162124872208e-05,0.0,10,0.0036272499710321426,1,4,identity_submatrix_direct_id,0,1,0,1,0,0,1,0,1024,0.00362313911318779,0.004017126280814409
