design,J,K,p,m,n,expected_n,n_identifiable,pct_identifiable,n_complete,pct_complete,n_two_column,pct_two_column,n_both_necessary,pct_both_necessary,n_no_pure_nodes,pct_no_pure_nodes,n_sat_called,pct_sat_called,conditional_denominator_identifiable,n_incomplete_given_identifiable,pct_incomplete_given_identifiable,n_no_pure_given_identifiable,pct_no_pure_given_identifiable,sum_J_basis,mean_J_basis,sum_basis_time,mean_basis_time,sum_identity_check_time,mean_identity_check_time,sum_two_col_check_time,mean_two_col_check_time,sum_three_col_check_time,mean_three_col_check_time,sum_sat_time,mean_sat_time,sum_preprocess_time,mean_preprocess_time,sum_algorithm_time,mean_algorithm_time,branch_counts
bernoulli,25,5,0.1,,1000,1000,446,44.6,373,37.3,446,44.6,446,44.6,0,0.0,73,7.3,446,73,16.367713004484305,0,0.0,4749,4.749,0.10521759232506156,0.00010521759232506156,0.032517950516194105,3.251795051619411e-05,0.03148159058764577,3.148159058764577e-05,0.010876374319195747,1.0876374319195747e-05,0.4120815289206803,0.00041208152892068027,0.18009350774809718,0.0001800935077480972,0.5964319710619748,0.0005964319710619748,"{""-1"": 0, ""2"": 554, ""3"": 0, ""4"": 373, ""5"": 0, ""6"": 73}"
bernoulli,25,5,0.3,,1000,1000,942,94.2,402,40.2,942,94.2,942,94.2,0,0.0,540,54.0,942,540,57.32484076433121,0,0.0,6137,6.137,0.1533221583813429,0.00015332215838134288,0.03517647320404649,3.517647320404649e-05,0.06688746018335223,6.688746018335224e-05,0.05628491146489978,5.6284911464899777e-05,0.7881328412331641,0.0007881328412331641,0.3116710032336414,0.0003116710032336414,1.1036451593972743,0.0011036451593972743,"{""-1"": 0, ""2"": 58, ""3"": 0, ""4"": 402, ""5"": 0, ""6"": 540}"
bernoulli,25,5,0.5,,1000,1000,980,98.0,34,3.4,980,98.0,980,98.0,11,1.1,946,94.6,980,946,96.53061224489795,11,1.1224489795918366,7945,7.945,0.1971475393511355,0.0001971475393511355,0.03761413227766752,3.761413227766752e-05,0.1216645292006433,0.0001216645292006433,0.098446911200881,9.844691120088101e-05,0.8523090374656022,0.0008523090374656021,0.4548731120303273,0.0004548731120303273,1.3115955092944205,0.0013115955092944205,"{""-1"": 0, ""2"": 20, ""3"": 0, ""4"": 34, ""5"": 0, ""6"": 946}"
bernoulli,25,5,0.7,,1000,1000,799,79.9,0,0.0,956,95.6,914,91.4,506,50.6,914,91.4,799,799,100.0,372,46.55819774718398,7917,7.917,0.17376614455133677,0.00017376614455133678,0.03717620624229312,3.717620624229312e-05,0.1208414463326335,0.0001208414463326335,0.0991799458861351,9.91799458861351e-05,1.026694716885686,0.0010266947168856859,0.4309637430123985,0.0004309637430123985,1.497868848964572,0.001497868848964572,"{""-1"": 0, ""2"": 44, ""3"": 42, ""4"": 0, ""5"": 115, ""6"": 799}"
bernoulli,25,5,0.9,,1000,1000,1,0.1,0,0.0,435,43.5,17,1.7,987,98.7,17,1.7,1,1,100.0,1,100.0,5406,5.406,0.11735586589202285,0.00011735586589202285,0.03305169800296426,3.305169800296426e-05,0.07316849520429969,7.316849520429969e-05,0.017606906592845917,1.7606906592845918e-05,0.11076458962634206,0.00011076458962634205,0.2411829656921327,0.0002411829656921327,0.365179562009871,0.000365179562009871,"{""-1"": 0, ""2"": 565, ""3"": 418, ""4"": 0, ""5"": 16, ""6"": 1}"
bernoulli,25,10,0.1,,1000,1000,61,6.1,3,0.3,63,6.3,61,6.1,0,0.0,58,5.8,61,58,95.08196721311475,0,0.0,10302,10.302,0.183888069819659,0.000183888069819659,0.049478279426693916,4.947827942669392e-05,0.15936400648206472,0.00015936400648206472,0.05855737300589681,5.855737300589681e-05,0.3698908775113523,0.0003698908775113523,0.45128772873431444,0.00045128772873431446,0.8263818109408021,0.0008263818109408021,"{""-1"": 0, ""2"": 937, ""3"": 2, ""4"": 3, ""5"": 0, ""6"": 58}"
bernoulli,25,10,0.3,,1000,1000,839,83.9,0,0.0,839,83.9,839,83.9,35,3.5,839,83.9,839,839,100.0,29,3.4564958283671037,20019,20.019,0.3645807490684092,0.0003645807490684092,0.06582849938422441,6.582849938422441e-05,0.8895851471461356,0.0008895851471461356,0.8524969941936433,0.0008524969941936433,6.796982693020254,0.006796982693020254,2.1724913897924125,0.0021724913897924127,8.976147779729217,0.008976147779729217,"{""-1"": 0, ""2"": 161, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 839}"
bernoulli,25,10,0.5,,1000,1000,932,93.2,0,0.0,938,93.8,937,93.7,806,80.6,937,93.7,932,932,100.0,751,80.5793991416309,21566,21.566,0.38612435571849346,0.00038612435571849346,0.06607367377728224,6.607367377728223e-05,1.0084234597161412,0.0010084234597161413,0.9482835559174418,0.0009482835559174418,37.220777155831456,0.037220777155831455,2.4089050451293588,0.002408905045129359,39.63842640258372,0.03963842640258372,"{""-1"": 0, ""2"": 62, ""3"": 1, ""4"": 0, ""5"": 5, ""6"": 932}"
bernoulli,25,10,0.7,,1000,1000,58,5.8,0,0.0,826,82.6,565,56.5,998,99.8,565,56.5,58,58,100.0,58,100.0,18177,18.177,0.3730305670760572,0.00037303056707605717,0.06046048644930124,6.0460486449301244e-05,0.815149821806699,0.000815149821806699,0.6945318756625056,0.0006945318756625056,207.49377145105973,0.20749377145105974,1.943172750994563,0.0019431727509945631,209.6045333482325,0.2096045333482325,"{""-1"": 0, ""2"": 174, ""3"": 261, ""4"": 0, ""5"": 507, ""6"": 58}"
bernoulli,25,10,0.9,,1000,1000,0,0.0,0,0.0,60,6.0,0,0.0,1000,100.0,0,0.0,0,0,,0,,10209,10.209,0.20202942518517375,0.00020202942518517374,0.049970933236181736,4.997093323618174e-05,0.15889550559222698,0.00015889550559222698,0.003718852996826172,3.718852996826172e-06,0.0,0.0,0.41461471701040864,0.0004146147170104086,0.41950334841385484,0.00041950334841385484,"{""-1"": 0, ""2"": 940, ""3"": 60, ""4"": 0, ""5"": 0, ""6"": 0}"
bernoulli,50,5,0.1,,1000,1000,900,90.0,839,83.9,900,90.0,900,90.0,0,0.0,61,6.1,900,61,6.777777777777778,0,0.0,5066,5.066,0.16602723626419902,0.00016602723626419903,0.034331802278757095,3.4331802278757094e-05,0.012147925794124603,1.2147925794124604e-05,0.006310114171355963,6.310114171355963e-06,0.16761176567524672,0.00016761176567524672,0.21881707850843668,0.00021881707850843668,0.3896811413578689,0.0003896811413578689,"{""-1"": 0, ""2"": 100, ""3"": 0, ""4"": 839, ""5"": 0, ""6"": 61}"
bernoulli,50,5,0.3,,1000,1000,1000,100.0,886,88.6,1000,100.0,1000,100.0,0,0.0,114,11.4,1000,114,11.4,0,0.0,5272,5.272,0.2361600659787655,0.0002361600659787655,0.03616608865559101,3.616608865559101e-05,0.013752598781138659,1.3752598781138658e-05,0.012066393159329891,1.2066393159329892e-05,0.2152827470563352,0.0002152827470563352,0.29814514657482505,0.00029814514657482507,0.5167153454385698,0.0005167153454385697,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 886, ""5"": 0, ""6"": 114}"
bernoulli,50,5,0.5,,1000,1000,1000,100.0,283,28.3,1000,100.0,1000,100.0,0,0.0,717,71.7,1000,717,71.7,0,0.0,7241,7.241,0.2937804954126477,0.00029378049541264775,0.037187798880040646,3.718779888004065e-05,0.09124870877712965,9.124870877712964e-05,0.07584131136536598,7.584131136536598e-05,0.6917310748249292,0.0006917310748249292,0.498058314435184,0.000498058314435184,1.1934532187879086,0.0011934532187879085,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 283, ""5"": 0, ""6"": 717}"
bernoulli,50,5,0.7,,1000,1000,998,99.8,0,0.0,1000,100.0,999,99.9,234,23.4,999,99.9,998,998,100.0,233,23.34669338677355,9214,9.214,0.2888721381314099,0.00028887213813140987,0.0414498271420598,4.1449827142059803e-05,0.14060956379398704,0.00014060956379398704,0.10693870577961206,0.00010693870577961207,1.0030727596022189,0.0010030727596022188,0.5778702348470688,0.0005778702348470687,1.5863742236979306,0.0015863742236979306,"{""-1"": 0, ""2"": 0, ""3"": 1, ""4"": 0, ""5"": 1, ""6"": 998}"
bernoulli,50,5,0.9,,1000,1000,11,1.1,0,0.0,925,92.5,132,13.2,975,97.5,132,13.2,11,11,100.0,10,90.9090909090909,6339,6.339,0.17721724789589643,0.00017721724789589643,0.03515120781958103,3.515120781958103e-05,0.1055353432893753,0.0001055353432893753,0.051618654280900955,5.1618654280900955e-05,0.2565347524359822,0.0002565347524359822,0.3695224532857537,0.0003695224532857537,0.6850971411913633,0.0006850971411913634,"{""-1"": 0, ""2"": 75, ""3"": 793, ""4"": 0, ""5"": 121, ""6"": 11}"
bernoulli,50,10,0.1,,1000,1000,716,71.6,195,19.5,716,71.6,716,71.6,0,0.0,521,52.1,716,521,72.76536312849161,0,0.0,11812,11.812,0.3474969523958862,0.0003474969523958862,0.05648848321288824,5.648848321288824e-05,0.4326907224021852,0.0004326907224021852,0.5412472868338227,0.0005412472868338228,2.3192438073456287,0.0023192438073456286,1.3779234448447824,0.0013779234448447824,3.7032643845304847,0.0037032643845304847,"{""-1"": 0, ""2"": 284, ""3"": 0, ""4"": 195, ""5"": 0, ""6"": 521}"
bernoulli,50,10,0.3,,1000,1000,998,99.8,0,0.0,998,99.8,998,99.8,1,0.1,998,99.8,998,998,100.0,1,0.10020040080160321,27725,27.725,0.8980647772550583,0.0008980647772550583,0.08461648039519787,8.461648039519787e-05,1.28749368339777,0.00128749368339777,1.0470142578706145,0.0010470142578706146,9.561088752932847,0.009561088752932847,3.3171891989186406,0.0033171891989186406,12.885704570449889,0.012885704570449888,"{""-1"": 0, ""2"": 2, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 998}"
bernoulli,50,10,0.5,,1000,1000,1000,100.0,0,0.0,1000,100.0,1000,100.0,623,62.3,1000,100.0,1000,1000,100.0,623,62.3,35299,35.299,1.07604705914855,0.00107604705914855,0.09016225393861532,9.016225393861532e-05,1.56416283454746,0.00156416283454746,1.0283230794593692,0.0010283230794593692,21.839609909802675,0.021839609909802674,3.7586952270939946,0.0037586952270939945,25.605311343446374,0.025605311343446374,"{""-1"": 0, ""2"": 0, ""3"": 0, ""4"": 0, ""5"": 0, ""6"": 1000}"
bernoulli,50,10,0.7,,1000,1000,935,93.5,0,0.0,1000,100.0,997,99.7,995,99.5,997,99.7,935,935,100.0,930,99.46524064171123,29434,29.434,0.9797941548749804,0.0009797941548749804,0.083363376557827,8.3363376557827e-05,1.3248060215264559,0.001324806021526456,1.0097471857443452,0.0010097471857443451,2162.189341355115,2.162189341355115,3.3977107387036085,0.0033977107387036087,2165.629153379239,2.165629153379239,"{""-1"": 0, ""2"": 0, ""3"": 3, ""4"": 0, ""5"": 62, ""6"": 935}"
bernoulli,50,10,0.9,,1000,1000,0,0.0,0,0.0,730,73.0,0,0.0,1000,100.0,0,0.0,0,0,,0,,14145,14.145,0.3766911458224058,0.0003766911458224058,0.05594286881387234,5.5942868813872334e-05,0.6160373287275434,0.0006160373287275434,0.06384813319891691,6.38481331989169e-05,0.0,0.0,1.1125194765627384,0.0011125194765627385,1.1179244657978415,0.0011179244657978414,"{""-1"": 0, ""2"": 270, ""3"": 730, ""4"": 0, ""5"": 0, ""6"": 0}"
