schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,m_requested,m_effective,min_row_size_requested,row_size_distribution,row_size_support,row_size_probs,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,50,10,100,869815370,0,conj,glucose42,MT19937-RandomState,0.0006691617891192436,00000000011000000001010000001010001100001000100000000100100100001100000010000100101000001000000010000100011000000010011010000100100000000001000000101100000100001000000000000000001000100101000101000000010000100100010000110000100000000100000000001010100110000001000000001000000010001000100000000011100000100000000000010000010000000000010000100010000001001001000100000100000010000010000000100000001100000000000001000010011000000110001001000010110000010000011010000010011000010001000000001001000000101000,280bb3d152d4d6608a704cb049c1eb59879c50a4c7a2a24fae1f06954d8932df,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005633039399981499,7.698312401771545e-05,0.0006417408585548401,0.001008625142276287,0.014705482870340347,0.017003528773784637,0.0022906530648469925,12,928,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,488,2011,0,1,1,0,0,0,0,1,1,1,0,0,0.005844400264322758
4,50,10,100,869815370,1,conj,glucose42,MT19937-RandomState,0.0005873572081327438,01000100100100000100000100000100000110001000000000000000000101000000010000000001110000010001010010000000000011010010010000000100000000100110000110000000000000101001001000000010010001100010000010001100100000001110010000001010000000001001000101010000100000000001011000000110001010000000000001001001010010001001001100000001000001011011000000001000001100000000100000110000100100000100100010000110001000000000000100110000100000100100010001000000000010000000000000100010010001100000100000011000000010000001,b979d4257d4ce01d005645eafc395f55b292caae85e73d67cdcd00f3d14a57f3,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0006781481206417084,6.366893649101257e-05,0.0009539369493722916,0.0010068044066429138,0.005883334204554558,0.008591840043663979,0.0027025584131479263,20,960,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,870,3504,0,1,1,0,0,0,0,1,1,1,0,0,0.006922147236764431
4,50,10,100,869815370,2,conj,glucose42,MT19937-RandomState,0.0005677090957760811,01000000000000000100100010000100100101000001010010010000000001000000000010000011100100100010000000000000000101010001001010000000001000010010000001000000000000100010000011010100100000010000001101000000000000000100110001001000010010010001000010000001001001000000000100010101000010100100000000100100100010001010000001001001000011000000100010000000100000000000010000000000010011001000000001000100000011100000010110000000010010100010000010001000100100000000001100000000000010000000000110000000000001000010,595bb3e882495c2e4838ed412d59083fbe45089b181f4f0759022740670e013a,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005410872399806976,6.012711673974991e-05,0.0008613690733909607,0.0009922580793499947,0.0045633940026164055,0.0070231640711426735,0.002454841509461403,18,832,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,812,3172,0,1,1,0,0,0,0,1,1,1,0,0,0.006375153549015522
4,50,10,100,869815370,3,conj,glucose42,MT19937-RandomState,0.0005557853728532791,00011000000110000001001000010000000001000000000110101000000001001000010101000001000011001000100010010100000000010000100110000000000011000000000010000101000001000000000100100000000000101000000110000001001010001000010000000000000011000001001100001000110010000100000100101010010000000010000110010010000101011000000010100000010000100000001000100100000000000000010000000110000000100100000010000000000001101010000000101000001000001000010000010010010001000111010000000001001000000000100000010000011000100000,300b193892ba67848d299ec69ee51b60a79430353981645692492bf5e4b4b408,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0006673876196146011,7.260683923959732e-05,0.0010681822896003723,0.0009981906041502953,0.009538560174405575,0.01235013548284769,0.002806367352604866,23,878,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,997,4046,0,1,1,0,0,0,0,1,1,1,0,0,0.007017116062343121
4,50,10,100,869815370,4,conj,glucose42,MT19937-RandomState,0.0005603348836302757,00001000010010110000000100011000000101010010000110000101000010000000001000000000000000100000100000100000010010000000011000010010000100000010001000011000100000100000100000010000100010000010000001000011001000010000100000000000000001000100000000100110000010001100001000000000000001000000001110000001011000100010000001000010000010011000000000100001001001000010001000010000110000010000010000000000101000010001010000110000100000001010101100000000010010000000000000110010000100000000010000000000100000001110,a84a28542679b4e9f62f3dec8cb9d5c552e4bd70e032e91f6cea6216faa1a498,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005060452967882156,5.044322460889816e-05,0.0,0.0,0.0,0.000559832900762558,0.0005564885213971138,10,1024,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,0,0,0,1,1,1,1,0,0.005440627224743366
4,50,10,100,869815370,5,conj,glucose42,MT19937-RandomState,0.0005547348409891129,01000000000000000010000000000100000001000010001100011010000000000011010000100100001000000000010000000010000000000100100100000001000000001000101000000000000000011010001000100010000000001001000100001001000110001000000110000001000000100010000000100001010000001100001000001000001101000001100100000001000000100000100001000100001000000000010000000001000000000001010100010000000000100001001000000000100101000010010000000101000100010000100000000010011000000001000000000000001000000100000000001001100000000110,ae027082da632b8cd2682e6fbd4f8bbcbed33d7829ced05678933ed13661fe71,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.00047210417687892914,5.937647074460983e-05,0.0007072901353240013,0.0009881248697638512,0.003515031188726425,0.005746811628341675,0.0022268956527113914,14,860,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,586,2387,0,1,1,0,0,0,0,1,1,1,0,0,0.00593505147844553
4,50,10,100,869815370,6,conj,glucose42,MT19937-RandomState,0.0005521085113286972,10110000000010000100000011001001000000000000010110010000100001000100000000010001000001000000000101000000000100000001100001001000010011000001001000000100001010000110000100001100000100000000010000000010000000001100001000000010000000000000010010100001000010000100001000110000100100101000010100000000000110010010001101000000000000010100110000010011000001100000000001000000000000110000000000110100011100000000001100000010000100000100000000000110010000001010000001010100000110000100110001000001100110000010,b44602507c95537bb77b4fd9f09a0de9423a01229222f861f6774ec8caa2dfc6,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005951374769210815,5.886238068342209e-05,0.0008679553866386414,0.0010001854971051216,0.004962822422385216,0.0074896542355418205,0.0025221407413482666,18,874,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,782,3139,0,1,1,0,0,0,0,1,1,1,0,0,0.006367173045873642
4,50,10,100,869815370,7,conj,glucose42,MT19937-RandomState,0.0005560973659157753,00000010001001010000010010000000000001000000010000000101010000001010000000001100000000010000000100001001001000100101000001100010000110000100000000110000011001000100110000000110000101000001000000000100000000110000110100000100010000000011100000100110000001000000001000001001100000010010000000100001100000000010010000010000000000100000001000000000000001000100000010000101000001000000000010010000000100000010100100001000100000010101001000001010000000001010000000010000110100110010000000001010000001001000,b222dd8975710fd1ff39066461bcca8d55b132b0b66b2636740ac276d04326c5,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005396092310547829,6.180629134178162e-05,0.0009517902508378029,0.000996083952486515,0.004411798901855946,0.006967297755181789,0.0025492897257208824,20,921,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,880,3515,0,1,1,0,0,0,0,1,1,1,0,0,0.006934564560651779
4,50,10,100,869815370,8,conj,glucose42,MT19937-RandomState,0.0005558319389820099,01000010100000100000001000010010100000100000000100010000000000100000001000101000000011000010000000010010110000100000001000001100010100001000001100000000001010001000011000010000100000010000001000010000000001000000010000000000010101100001100010000000000000001000001101000010000000100000101100100000000100000000100010010100100100100010010000100100000000000100010111000010000010000000101000000100010010000000010100001001100010000000010101000000100000010010000100000000010010100010001010000010101000000000,3729b978daf12cc9f64fa2a9ea4aab5f7fa1c9a6068634312ba8b5a84566bfae,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005783746019005775,5.129724740982056e-05,0.0006737373769283295,0.0009987913072109222,0.003797798417508602,0.006104093976318836,0.00230220053344965,13,896,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,547,2210,0,1,1,0,0,0,0,1,1,1,0,0,0.005798759870231152
4,50,10,100,869815370,9,conj,glucose42,MT19937-RandomState,0.0005495212972164154,10000000000010000001000000001010000001100001100010000011000000000101010000001000100100000100000100011001010000000100001100000001000100100001100000100010001000000010000000000101000111010000000000100010000001010101000010000000001000000000010010000000000000000111001000001000000001000000000010001000101000000011010011000010001010000000100000001000010000000010000000010010000000000100100000001000000110100010000000011001000000001010001001010000000000010000000001100000010011000100001000000001010000000001,dbbc4ba9ba60392bde64f730375ddca276ab10269bbcbc6a28607a1e3ce95768,row_sparsity,row_sparsity|conj|2c5e43f84a|rng=MT19937-RandomState,,3,3,1,uniform,1;2;3,0.3333333333333333;0.3333333333333333;0.3333333333333333,0.0005809320136904716,6.187800318002701e-05,0.000947052612900734,0.0009923465549945831,0.005189801566302776,0.007776085287332535,0.0025822091847658157,20,852,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,880,3515,0,1,1,0,0,0,0,1,1,1,0,0,0.006676355376839638
