schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,zero_row_policy,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,25,5,100,172266148,0,conj,glucose42,MT19937-RandomState,0.00015756022185087204,00001000001010000100000000111010100000111000100110010000100001001101111001111110001000010111010100101111100101100000100010000,a32b143f70d5c059035b88082555c6ab92cc6ceb011f8eb8b45d420399543fc6,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00022762175649404526,5.5097974836826324e-05,0.0001253020018339157,0.0003645997494459152,0.04282234609127045,0.043601454235613346,0.0007726214826107025,7,30,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,138,400,0,1,1,0,1,0,0,1,1,1,0,0,0.0008763456717133522
4,25,5,100,172266148,1,conj,glucose42,MT19937-RandomState,3.890041261911392e-05,00101010001011010001010000000000010101100000000001100000001001000010001000000111100100000000100000010010000100011000000000000,e961f7e5e8871756baa6da656b7a0480613a702b8c1ed880aa555be21bb34b72,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00013939477503299713,3.5395845770835876e-05,0.0,0.0,0.0,0.00017866306006908417,0.000174790620803833,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0006910115480422974
4,25,5,100,172266148,2,conj,glucose42,MT19937-RandomState,3.5264529287815094e-05,00010001110101000010000011001000001001110010110010011000001001010010000000011010110101000000000100001000010100100001010000000,bfcef1c4452269613bddae386b0971532c085a5a7f501133e16547f8da515f04,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00013330113142728806,3.3785589039325714e-05,0.00011253077536821365,9.783357381820679e-05,0.0007578982040286064,0.0011399844661355019,0.0003774510696530342,7,30,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,138,400,0,1,1,0,1,0,0,1,1,1,0,0,0.0007477356120944023
4,25,5,100,172266148,3,conj,glucose42,MT19937-RandomState,2.902187407016754e-05,01010110000000101000011000000000000000110000110100000010000100100000001011001000000101101110000111100100010001110011010000000,ddfd56ee9b8af416a22283065671592a59c55c56f242e2845a78b4e23c5c9dd9,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00015794206410646439,3.267824649810791e-05,0.0,0.0,0.0,0.00019366387277841568,0.0001906203106045723,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0006750309839844704
4,25,5,100,172266148,4,conj,glucose42,MT19937-RandomState,2.590566873550415e-05,01001000000010000001111001000100000110101000010010111011100000000100010001011001010001100001101011010111100100110011100000000,0f34900b68db7ad41c2488b871d8fd400fb11f2eb1072ca61f0562256c564f82,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00015977397561073303,3.254879266023636e-05,0.0,0.0,0.0,0.0001952294260263443,0.0001923227682709694,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0006695622578263283
4,25,5,100,172266148,5,conj,glucose42,MT19937-RandomState,2.6419758796691895e-05,01000010101000011010100111100000000011101000110000001000000000010100001100000000000010000000011010001010110100011000000010010,1d8807b664df76acd3bb947b45a969c8d99027f904c24615e0221b2d42c3243d,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0001547178253531456,3.146752715110779e-05,0.0,0.0,0.0,0.00018900632858276367,0.0001861853525042534,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.000669560395181179
4,25,5,100,172266148,6,conj,glucose42,MT19937-RandomState,2.6470981538295746e-05,01010100001100000111110000010000001001000000000100010111001111001001111101010010100110110111100010001101001000001001001010100,991151c3da6719ced1a34210e6bb0e94b92bbebc029238db35c88e929d3707bb,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00016842782497406006,3.443937748670578e-05,0.00011126790195703506,9.66433435678482e-05,0.000687924213707447,0.001102980226278305,0.0004107784479856491,7,29,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,143,406,0,1,1,0,1,0,0,1,1,1,0,0,0.0007274709641933441
4,25,5,100,172266148,7,conj,glucose42,MT19937-RandomState,3.1896866858005524e-05,00000111000010100010000111111001001000101010001000001010011011100100001100000000001000100110011100000000001000000110001000011,8337dcd13552067e3d66960394ef1b48c1d99f26b52f818284f05f7ec64ff26f,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00015957001596689224,3.568362444639206e-05,0.00011272262781858444,9.74433496594429e-05,0.0006279591470956802,0.0010389313101768494,0.00040541961789131165,7,30,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,138,400,0,1,1,0,1,0,0,1,1,1,0,0,0.0007315864786505699
4,25,5,100,172266148,8,conj,glucose42,MT19937-RandomState,2.6628375053405762e-05,00000000000010000001001010100001011000000000000000000000010010010011110000011010000100011000100100000000100001101011000011000,6eea83fa2989d6af636ac8f0aafda62c60f5b5fb391ca6b94188ca752a9f8fa4,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00014436524361371994,3.199279308319092e-05,0.0,0.0,0.0,0.00017932523041963577,0.00017635803669691086,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0006597768515348434
4,25,5,100,172266148,9,conj,glucose42,MT19937-RandomState,2.4432316422462463e-05,11000100010000000000010000010000000000001111010001101000111001001000001101110011011001010000000000001000000010000111101100100,8f7c2c6c238b357a47aca1311373ad83cfd7072cb9eb0c63634b3734983d8998,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0001695007085800171,3.2889656722545624e-05,0.00011141039431095123,9.426195174455643e-05,0.000635836273431778,0.0010474054142832756,0.0004080627113580704,7,30,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,138,400,0,1,1,0,1,0,0,1,1,1,0,0,0.0007205456495285034
