solver,J,K,m,min_row_size,row_size_distribution,n,id_prop,identity_original_prop,two_col_violation_basis_prop,sat_called_prop,mean_J_basis,mean_M_basis,mean_algorithm_time,mean_sat_time_given_SAT,id_and_not_complete_prop,not_complete_given_id,id_and_no_pure_prop,no_pure_given_id
1,50,10,3.0,1.0,uniform,1000.0,99.2,0.7,0.8,87.5,16.621,930.862,0.228,0.253,98.5,99.3,0.0,0.0
1,50,10,4.0,1.0,uniform,1000.0,99.9,8.1,0.1,97.8,20.975,850.803,0.300,0.298,91.8,91.9,0.0,0.0
