solver,J,K,p,n,id_prop,id_mcse,mean_J_basis,sd_J_basis,mean_M_basis,sd_M_basis,identity_original_prop,identity_basis_prop,two_col_violation_original_prop,two_col_violation_basis_prop,sat_called_prop,resolved_before_SAT_prop,mean_algorithm_time,median_algorithm_time,mean_preprocess_time,median_preprocess_time,mean_sat_time_all,median_sat_time_all,not_complete_prop,no_pure_prop,id_and_not_complete_prop,id_and_not_complete_mcse,not_complete_given_id,id_and_no_pure_prop,id_and_no_pure_mcse,no_pure_given_id,n_SAT,SAT_identifiable_prop,SAT_nonidentifiable_prop,mean_sat_time_given_SAT,median_sat_time_given_SAT,mean_algorithm_time_given_SAT,mean_J_basis_given_SAT,mean_M_basis_given_SAT
1,25,5,0.1,1000.0,0.444,0.015711906313366306,4.804,0.7772954317299073,23.597,7.836197866120861,0.059,0.346,0.556,0.556,0.098,0.902,0.0005641397399740069,0.00029229291249065,0.0002864681902574001,0.00024938851129259997,0.00025301356444833335,0.0,0.941,0.0,0.433,0.015668790636165893,0.9752252252252253,0.0,0.0,0.0,98.0,1.0,0.0,0.002581771065799319,0.0026496330974623,0.0030810739493118185,6.183673469387755,27.724489795918366
1,25,5,0.3,1000.0,0.951,0.006826346021115546,6.161,1.2052101607319547,29.323,2.958618668301878,0.03,0.389,0.049,0.049,0.562,0.438,0.002144163772056296,0.00270598847419015,0.0005037628832505527,0.00049107897211795,0.0016331131761544095,0.00222710100933905,0.97,0.0,0.921,0.008529888627643386,0.9684542586750788,0.0,0.0,0.0,562.0,1.0,0.0,0.002905895331235604,0.0028286349261179003,0.0034493972856826016,7.019572953736655,28.062277580071175
1,25,5,0.5,1000.0,0.983,0.004087909000944127,7.997,1.2233100537016317,25.601,2.8955454034055834,0.161,0.032,0.017,0.017,0.951,0.049,0.0036674109391751195,0.0037452640244737,0.0005565520037197931,0.00054191448725755,0.0031049398309550696,0.0031965285306796,0.839,0.015,0.826,0.011988494484296184,0.8402848423194303,0.015,0.003843826218756514,0.015259409969481181,951.0,1.0,0.0,0.0032649209578917665,0.0032344079809263,0.003832642500314196,8.11882229232387,25.456361724500525
1,25,5,0.7,1000.0,0.803,0.012577400367325513,7.963,1.1554072727683355,17.06,2.7069776001525616,0.001,0.0,0.049,0.049,0.904,0.096,0.003101798773743162,0.00317416735924775,0.0005159470536745587,0.0005094519583507999,0.0025642177639528673,0.0026467215502634003,0.999,0.482,0.802,0.012601428490452976,0.9987546699875467,0.345,0.015032464867745409,0.42963885429638854,904.0,0.8882743362831859,0.11172566371681415,0.002836524075169101,0.0027270184364169498,0.003388163704472436,8.076327433628318,17.414823008849556
1,25,5,0.9,1000.0,0.0,0.0,5.393,0.9754498974844934,8.16,1.5403807233190026,0.0,0.0,0.556,0.556,0.019,0.981,0.0003480752296163202,0.00031854701228435005,0.00022777517832578764,0.00024270650465035,4.1694684594402994e-05,0.0,1.0,0.992,0.0,0.0,,0.0,0.0,,19.0,0.0,1.0,0.002194457083915947,0.0021781518589705,0.002766418932495884,6.631578947368421,11.68421052631579
1,50,5,0.1,1000.0,0.901,0.009444522221901962,5.066,0.40473177266902205,30.714,3.401731290942276,0.0,0.834,0.099,0.099,0.067,0.933,0.0006723139176610353,0.00047162198461585,0.0004711921375710033,0.00046769517939535,0.00019064866425469207,0.0,1.0,0.0,0.901,0.009444522221901962,1.0,0.0,0.0,0.0,67.0,1.0,0.0,0.0028455024515625688,0.002714408095926,0.0033792204001167293,6.343283582089552,28.26865671641791
1,50,5,0.3,1000.0,1.0,0.0,5.257,0.784580503560072,31.814,0.6571421732287773,0.0,0.896,0.0,0.0,0.104,0.896,0.0008849693411029385,0.00049023597966875,0.0005208962941541764,0.0004864410730078,0.00036006197379901496,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,104.0,1.0,0.0,0.0034621343634520674,0.0033754489850252502,0.004054405619032062,7.471153846153846,30.21153846153846
1,50,5,0.5,1000.0,1.0,0.0,7.203,1.7084231647076549,30.206,1.6180797823909026,0.1,0.296,0.0,0.0,0.704,0.296,0.003091196863213504,0.0035331840626895,0.0005741868743206802,0.00055867794435465,0.002512489177053759,0.0029757351148873,0.9,0.0,0.9,0.009486832980505136,0.9,0.0,0.0,0.0,704.0,1.0,0.0,0.003568876671951361,0.00346767052542415,0.004173040669477517,8.129261363636363,29.451704545454547
1,50,5,0.7,1000.0,0.998,0.0014127986409959495,9.256,1.1848493017543875,22.47,2.456243703937608,0.009,0.0,0.0,0.0,1.0,0.0,0.004315280212089369,0.00426410313230005,0.0005952812118920938,0.00057729473337525,0.0037149005215614526,0.00366935448255385,0.991,0.261,0.989,0.0032983329122452166,0.9909819639278558,0.259,0.013853483316480371,0.2595190380761523,1000.0,0.998,0.002,0.0037149005215614526,0.00366935448255385,0.004315280212089369,9.256,22.47
1,50,5,0.9,1000.0,0.013,0.003582038525755969,6.333,0.7802049216197723,10.416,1.6798112292057634,0.0,0.0,0.099,0.099,0.17,0.83,0.0008940350094343971,0.0005004210397600501,0.00036802664399141995,0.000354248448275,0.0003742503935936757,0.0,1.0,0.98,0.013,0.003582038525755969,1.0,0.011,0.003298332912245215,0.8461538461538461,170.0,0.07647058823529412,0.9235294117647059,0.0022014729034922098,0.0021628050599246497,0.0028699364718597106,6.6647058823529415,12.58235294117647
1,100,5,0.1,1000.0,0.998,0.0014127986409959495,5.01,0.15467360448351808,31.972,0.4066710973026999,0.0,0.993,0.002,0.002,0.005,0.995,0.0005556823778897022,0.0005037339869885999,0.0005349227815604032,0.0005001134704798,1.64130800403653e-05,0.0,1.0,0.0,0.998,0.0014127986409959495,1.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0032826160080730604,0.003301054937765,0.0038964869920164,7.0,29.6
1,100,5,0.3,1000.0,1.0,0.0,5.011,0.17581214380670615,31.995,0.08355825501996768,0.0,0.996,0.0,0.0,0.004,0.996,0.0005789743624627087,0.0005237150471657001,0.0005575389636214321,0.00051997310947625,1.7282483400776698e-05,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,4.0,1.0,0.0,0.004320620850194175,0.0037771430797874,0.004962282313499549,7.75,30.75
1,100,5,0.5,1000.0,1.0,0.0,5.62,1.2787631662021004,31.745,0.5623978051977879,0.0,0.799,0.0,0.0,0.201,0.799,0.0013145459869410346,0.0005631584208458499,0.0005717453174292526,0.00054807669948785,0.0007385435334872358,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,201.0,1.0,0.0,0.003674345937747441,0.0035735559649765,0.0043122298454874594,8.08457711442786,30.73134328358209
1,100,5,0.7,1000.0,1.0,0.0,9.086,1.1772807609019935,26.975,2.0328569815674498,0.104,0.015,0.0,0.0,0.985,0.015,0.004530117348534937,0.0044831220293417,0.0006614494980312398,0.0006253323517739,0.0038631916821468128,0.00383519753813735,0.896,0.066,0.896,0.009653186002558947,0.896,0.066,0.007851369307324678,0.066,985.0,1.0,0.0,0.00392202201233179,0.0038416539318859,0.004590117906546408,9.148223350253808,26.898477157360407
1,100,5,0.9,1000.0,0.2,0.01264911064067352,7.059,1.0151598640359805,13.079,1.9011505393769743,0.0,0.0,0.002,0.002,0.593,0.407,0.00223187305801543,0.00268896890338505,0.0005017531744669631,0.0004936326295137,0.0014735566002782136,0.0019270799821242,1.0,0.949,0.2,0.01264911064067352,1.0,0.179,0.01212266472356635,0.895,593.0,0.3372681281618887,0.6627318718381113,0.002484918381582147,0.0024063559249043,0.003266841023971871,7.397976391231029,14.109612141652613
1,25,10,0.1,1000.0,0.078,0.008480330182251162,10.395,1.6708580929470886,354.449,186.00822147813096,0.166,0.006,0.922,0.922,0.072,0.928,0.011280179231078314,0.0009930793894454499,0.001219595530128522,0.00091704109217965,0.009988487253489435,0.0,0.834,0.0,0.066,0.007851369307324678,0.8461538461538461,0.0,0.0,0.0,72.0,1.0,0.0,0.13872898963179775,0.1344648440135643,0.14286151935488708,12.708333333333334,687.5555555555555
1,25,10,0.3,1000.0,0.823,0.012069424178476786,19.981,1.9365922104019067,377.132,77.69614705548321,0.001,0.0,0.177,0.177,0.823,0.177,0.12643364866374757,0.14089718647301194,0.004803066110413004,0.0049631654983386,0.1216046163626597,0.1361782429739833,0.999,0.047,0.822,0.012096115078817663,0.9987849331713244,0.04,0.0061967733539318665,0.04860267314702309,823.0,1.0,0.0,0.14775773555608712,0.1486121001653373,0.15294928967867572,20.212636695018226,387.73876063183474
1,25,10,0.5,1000.0,0.933,0.007906389820898028,21.481,1.5620752475726314,161.133,29.17558098008545,0.0,0.0,0.058,0.058,0.941,0.059,0.14344056918023854,0.11878085904754696,0.003978260282718062,0.00403190695215015,0.13944632781553082,0.11452422896400091,1.0,0.791,0.933,0.007906389820898028,1.0,0.734,0.013972973913952606,0.7867095391211146,941.0,0.9914984059511158,0.008501594048884165,0.14818950883690843,0.11808159109205,0.15229648277149896,21.534537725823593,162.15515409139215
1,25,10,0.7,1000.0,0.051,0.00695693898205238,18.18,1.898210526575806,56.937,10.220836389283232,0.0,0.0,0.177,0.177,0.538,0.462,0.42262266877025834,0.0327464735601097,0.002503072384279172,0.0028196888742967998,0.41998182532808276,0.029757680953480248,1.0,0.997,0.051,0.00695693898205238,1.0,0.05,0.006892024376045111,0.9803921568627451,538.0,0.09479553903345725,0.9052044609665427,0.7806353630633509,0.0904573904117569,0.7838983434623759,18.648698884758364,61.51858736059479
1,25,10,0.9,1000.0,0.0,0.0,10.235,1.4946601650572686,16.505,3.0081595742287455,0.0,0.0,0.922,0.922,0.0,1.0,0.0004938246888340886,0.00036523153539739996,0.00037532959633967554,0.0002498077228665,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,
1,50,10,0.1,1000.0,0.735,0.013956181426163821,11.843,1.8438413030276573,823.097,173.49534352605912,0.004,0.214,0.265,0.265,0.521,0.479,0.09487544188747413,0.11454022105317554,0.0039729297599259954,0.00383604236412785,0.09085678831019323,0.11066364811267701,0.996,0.0,0.732,0.014006284303840188,0.9959183673469387,0.0,0.0,0.0,521.0,1.0,0.0,0.17438922900229026,0.1773742299992591,0.17904990576887472,12.81190019193858,848.6545105566219
1,50,10,0.3,1000.0,0.999,0.0009994998749374613,27.476,4.106127650753712,724.571,83.66044482925625,0.048,0.0,0.001,0.001,0.999,0.001,0.3980156285490375,0.3983006899943575,0.009738658071262712,0.009631506050936801,0.38826775558828375,0.3886669424828142,0.952,0.002,0.951,0.006826346021115546,0.9519519519519519,0.002,0.0014127986409959489,0.002002002002002002,999.0,1.0,0.0,0.38865641200028406,0.3886683909222483,0.3984100227598455,27.47947947947948,724.902902902903
1,50,10,0.5,1000.0,1.0,0.0,35.215,2.7882879244349184,327.049,45.13956334723653,0.0,0.0,0.0,0.0,1.0,0.0,0.3252036578868283,0.3165894449921325,0.008364855978521468,0.008105153567157651,0.31682943644793704,0.3081871879985556,1.0,0.63,1.0,0.0,1.0,0.63,0.015267612779999367,0.63,1000.0,1.0,0.0,0.31682943644793704,0.3081871879985556,0.3252036578868283,35.215,327.049
1,50,10,0.7,1000.0,0.926,0.008277922444671728,29.335,2.6052951008594993,106.029,15.420244581164818,0.0,0.0,0.001,0.001,0.992,0.008,3.478572417716496,1.3596243599895388,0.004563349989475635,0.00454950716812155,3.4739722996558995,1.354943630984053,1.0,0.994,0.926,0.008277922444671728,1.0,0.921,0.008529888627643386,0.9946004319654428,992.0,0.9334677419354839,0.06653225806451613,3.501988205298286,1.3661222330993041,3.5065961288184493,29.34576612903226,106.17439516129032
1,50,10,0.9,1000.0,0.0,0.0,14.042,1.867008763161472,24.789,3.612690206830708,0.0,0.0,0.265,0.265,0.0,1.0,0.0014128297963179155,0.0014790189452469,0.0011661707883612912,0.00123610277660185,0.0,0.0,1.0,1.0,0.0,0.0,,0.0,0.0,,0.0,,,,,,,
1,100,10,0.1,1000.0,0.995,0.002230470802319547,10.585,1.4376515022222458,1011.478,38.3073487593304,0.0,0.825,0.005,0.005,0.17,0.83,0.03867124265569141,0.00363437598571175,0.003730640870606243,0.0036196086293784503,0.03493354538272252,0.0,1.0,0.0,0.995,0.002230470802319547,1.0,0.0,0.0,0.0,170.0,1.0,0.0,0.2054914434277795,0.19965591817162925,0.21028359374356703,13.411764705882353,958.0
1,100,10,0.3,1000.0,1.0,0.0,25.336,6.554850880841615,953.144,39.05929969793224,0.112,0.025,0.0,0.0,0.975,0.025,0.4564379359172308,0.4327071295119822,0.010491984376305434,0.0101201694924384,0.44593676598821186,0.42122884991113096,0.888,0.0,0.888,0.00997276290703835,0.888,0.0,0.0,0.0,975.0,1.0,0.0,0.45737104203919166,0.4258157680742442,0.4680481992004654,25.72923076923077,951.3271794871795
1,100,10,0.5,1000.0,1.0,0.0,49.903,4.375012197895194,543.317,50.74735268765066,0.0,0.0,0.0,0.0,1.0,0.0,0.7431334165246153,0.7308612035121769,0.015067128481048665,0.0149604579783044,0.7280570138292751,0.7153572444221936,1.0,0.389,1.0,0.0,1.0,0.389,0.015416841440450765,0.389,1000.0,1.0,0.0,0.7280570138292751,0.7153572444221936,0.7431334165246153,49.903,543.317
