schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,zero_row_policy,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,100,5,100,375592448,0,conj,glucose42,MT19937-RandomState,0.00013945717364549637,00100000100001101010100011010000010000000001010001000010010001111100100001100010010100001101010001000001110000000100010010011000110001100000100101010000011001001101001010000000001110000000010100111001101000001000100000001001110101100001010101010001010100000000001000000100010110010000011000100111000001000101000100101010010111101010011000000001000100100010000001101000000100010100001010000001000011001001000001011010000000000001000010000100001100000000001001001100010011000001000100000000011100000010,c76d9c03794dc1bd7cce3279701b1d03ed74216da67e521e636c25567cdb2774,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003825835883617401,6.0461461544036865e-05,0.0,0.0,0.0,0.0004479549825191498,0.000443045049905777,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0015119928866624832
4,100,5,100,375592448,1,conj,glucose42,MT19937-RandomState,4.134606570005417e-05,10001110100010011001000100000001010101000100100010000010000011100001000101100100100011000001000110000111001010100110000011001110000000001001011101100000000100000100010010100000010110100000100100110001000000001110000001110000000101000010000000001000100010100000110110110010000100100100101000000011100011101000000000110000000100000000011001010000001010001000100010000000000000010010000001100001000000000101001001000010010000000100100000000000000111010000000100010011010101000000000000000001010001000010,fc2d8d715ed859fc2231988c530bf256def7293f7ba844fc1c942d7fabb3e719,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00044424645602703094,3.909226506948471e-05,0.0,0.0,0.0,0.0004869624972343445,0.00048333872109651566,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.001422937959432602
4,100,5,100,375592448,2,conj,glucose42,MT19937-RandomState,3.807526081800461e-05,00000010000000000011101101000001000000000100100000010011101001100111000101100000010100001000000100000100010000000000010000000100000000000000010000000101110000010000111100100110010000000011111100000100100000001100010010010101000000001001010001000110011010001111111100110001001100110000000000110010000010000001000110000000100110010011011011100001000010101001110001111011001000010000000111000000010001000011100000101111001101100000000010110010000001011000001011100101000001000111100001010000011010100010,224a5dc1c86d5c72a6d06b2be1ce4c5550f78380f06434270cc81e0a6161ee06,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003738095983862877,3.620050847530365e-05,0.0,0.0,0.0,0.00041338615119457245,0.00041001010686159134,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.001421530731022358
4,100,5,100,375592448,3,conj,glucose42,MT19937-RandomState,3.488175570964813e-05,00000111000001000000110100000010001000010010000001101101000000001000011100001000000100100000000000010010010100000001001010011010001000000000100101100110100010001100100010000001111000110011100000000000101101100000000000000000000101101101000111000011001000100010000001100110010010000100010000001010010000000010000000000001100000001000000000000110011011100010001000001010100001100010111010110001000001000100000100010100000001100100001000110000000010001100000000100000001110000001100010100100000100000100,c50875fdde959ea9e750aaf2839e6e4cd36fb18dbc0e6f2f440b48e29e3110e3,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003533577546477318,3.512948751449585e-05,0.0,0.0,0.0,0.0003915475681424141,0.00038848724216222763,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014485577121376991
4,100,5,100,375592448,4,conj,glucose42,MT19937-RandomState,3.747362643480301e-05,10000100000010000100110000100100010000000100010001010111100000001000000011111000000000010000111010010010011000011001001000100100000000001100000000001000000000100100101010110100010001101101011000011001000000001001101100000001010110000100000010100110000000000011001010110001010000011001010110000001100110010011000001010000101100000000100010000101011001000110010001011000011100000001000000010000000000001000000111000011000011001000000100010010011011100100000100100000001111000111011001000001100000011000,ca170eb6d41a7ff2be18b2cbaeaea28d875968caa1abfe70fdd3224742958177,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003729844465851784,3.5628676414489746e-05,0.0,0.0,0.0,0.0004118429496884346,0.0004086131229996681,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.001419314183294773
4,100,5,100,375592448,5,conj,glucose42,MT19937-RandomState,4.141218960285187e-05,00000010110001001000000000010110001011000110010000110000000000110001000000110110001100000000010111011100110101000010000000000101000111000011011000110010011000001000000010100000110000000001000010001100010010010000000000100100000001000110110000000010000110100100010100000010000100110100010101101101100100000000010110000010101010011001001000010011000001111100000000000100000000010011110010000101000001100101000010000010010010100010010000000011100001101110010000110000000010001100010000000001101100010001,dabc9ca3f46b442283866a0ee482bf2880fb2a3d05e69e27dc8fe82cec1945eb,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003512175753712654,3.419630229473114e-05,0.0,0.0,0.0,0.000388546846807003,0.00038541387766599655,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014122789725661278
4,100,5,100,375592448,6,conj,glucose42,MT19937-RandomState,3.614462912082672e-05,00000000000000000001001001010010001100110000100011100010001000010100001001010110001100100100100101010010111001110000100010001011001000011100010001010010100100010100100000000001000001000011010001100010100000010100000000000100100000010001000000011010001000100100110100000011010001001101000100000100000010110000001000110000000110000101000000100000110000010000101101101111011100001000010101011001010110101100101100010010000001010000100010011101000000001101000001000000100100000000000001011000000010110001,bad726fe8e1182b0deb8d50a5365f362f6dd379299eee7940dfccb09eb586b60,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003441600129008293,3.586523234844208e-05,0.0,0.0,0.0,0.0003833035007119179,0.0003800252452492714,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014324085786938667
4,100,5,100,375592448,7,conj,glucose42,MT19937-RandomState,3.82494181394577e-05,01001000010011001110100001010001100010010100000000000000101000010000100000000101000100001000000000010000000001000000010011100110000000100011000001010011000100100000000000000100010111000110000000000101000100000101100000001001010000100110010001000000110111011000000000000001010010001110101111000110000010010000100000101010011010011000101110100000001001100100110000111000010000000001100011000000011001100001010100011001000000100100100010010001001101001111000000000010000000100100100000100000000000001000,1491a9ba36c6af55d44e58232c2e1c513e881c59231666f8813ee4bd5c5af59e,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00033990200608968735,3.774091601371765e-05,0.0,0.0,0.0,0.00038204528391361237,0.000377642922103405,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014198161661624908
4,100,5,100,375592448,8,conj,glucose42,MT19937-RandomState,3.596208989620209e-05,00001010001010010101001000011000001111000000000001001000000001100110100010000000101010110000001100001100000000000000000101000000000000001001000010100000000101001100000110001001110000011100000100100001101000000101000101010001000000001000100001000000110001100000101001000001101000000000000101000001100101000100010001111110000000110001001011000011001000001101111001000001000110000000101101001100010000000110000100100000000010001000000000110010101100010000000010001100000010111110000000111110001000000100,56a3e9092adf115badc83da26cf884b8ea6f9cc80466705b85e4dbd22115c2c0,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.000354924239218235,3.4380704164505005e-05,0.0,0.0,0.0,0.0003920169547200203,0.00038930494338274,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014212550595402718
4,100,5,100,375592448,9,conj,glucose42,MT19937-RandomState,3.381073474884033e-05,01000110011000110010000010001101111000010001110000000011000110001000100111100001100010001001000000111001001101100100101100001001111100000001000001010100001001001000000101011010001000011101000010101000010010101100110000000011011000010000100000000000100000011100010001000010000100000000101000101101101000110000110001000000100001000100010100000010100000001001100100001010101001000010010000001100101010000000011011100000001000011011001111000111101000101001110000100010001110100000101100010000000010000000,e4b9587bdbd24581a1ae5af827849087f733ca1251fc9c64d6039372563c4c08,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.0003623049706220627,3.4860335290431976e-05,0.0,0.0,0.0,0.00039979908615350723,0.00039716530591249466,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014038514345884323
4,100,5,100,375592448,10,conj,glucose42,MT19937-RandomState,5.6092627346515656e-05,10000010000000100000110100100000010010000100100001101100000000110001001000001111110111101000010000010000000100010001101100000100000101011010101000100010000101110000110010000010101010000000100000101000000000010000100011000100000000101000000010000110000100000000011110000000000101000101000010000010010000001010101000100000000000100000010000000010000100000000000010000001011001010100100101011000100001100001011000000010000000000000000101000000001011110000100001001000100000010000010011110001000110001101,3736f5fbf82b9760b62dd2c6ff719900da4da82b4061154b939079b5f30f1ef5,bernoulli,bernoulli|conj|p=0.3|zero=allow_iid|rng=MT19937-RandomState,0.3,allow_iid,0.00034341495484113693,4.0967948734760284e-05,0.0,0.0,0.0,0.000387667678296566,0.0003843829035758972,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0014047985896468163
