schema_version,J,K,N,seed,sim,operator,solver_name,rng_engine,generation_time,q_bitstring,q_sha256,design,design_id,p,zero_row_policy,basis_time,identity_check_time,two_col_check_time,three_col_check_time,sat_time,algorithm_time,preprocess_time,J_basis,M_basis,identifiable,branch,branch_label,sat_called,sat_formulation,sat_cardinality_encoding,cardinality_encoding_requested,maximal_candidate_requested,sat_variables,sat_clauses,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,has_zero_row_original,two_col_violation_original,three_col_violation_original,two_column_pass_original,both_necessary_checks_pass_original,I_3c,identity_basis,two_col_violation_basis,diagnostics_time
4,25,5,100,2077334740,0,conj,glucose42,MT19937-RandomState,0.00015534274280071259,00000010000000100010000001001000000101000000000000000000000000000001000001000000001100000000000000000001000000000000000000000,7c1895265ccde2a45633e22f15b1db3d962f9fc3543c3894b4e667f1bb8ad322,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00018134992569684982,7.225945591926575e-05,0.00013212952762842178,0.00030446238815784454,0.04810107592493296,0.048802588135004044,0.0006902012974023819,6,28,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,119,338,0,1,1,0,1,0,0,1,1,1,0,0,0.0009732730686664581
4,25,5,100,2077334740,1,conj,glucose42,MT19937-RandomState,4.6133995056152344e-05,00000000000001000001100000000000000010101101001000110000000000000000000000000010000010010000000000000000000000000000000000000,290aa5153ae352e53b4e2f145eec588eaf135ae42f8e7f2b64c9b32b7cbca470,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00015160441398620605,4.160590469837189e-05,0.0,0.0,0.0,0.0001979973167181015,0.00019321031868457794,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0008331397548317909
4,25,5,100,2077334740,2,conj,glucose42,MT19937-RandomState,3.811437636613846e-05,00010000000000000100001000100110000000000100001000000000000001100000100100000000000001000100000000000000000000000010100010101,26f817192a316b12798b7b9b50e8de99882c3012208e1dd1b9305029b748fcf6,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.0001552291214466095,4.0858983993530273e-05,0.0,0.0,0.0,0.00020031072199344635,0.00019608810544013977,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0008244402706623077
4,25,5,100,2077334740,3,conj,glucose42,MT19937-RandomState,3.4914351999759674e-05,00011000100000100000000000010000000000000000000010000000000000000000000100100000010010000000001000000000000000000010010000000,148b98de2a5544830e05c89b595bc2f2be5fdb3c528f82f9e341050eb110a6c8,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.0001147594302892685,3.95188108086586e-05,3.0211172997951508e-05,0.0,0.0,0.00019352789968252182,0.0001844894140958786,4,12,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0004185689613223076
4,25,5,100,2077334740,4,conj,glucose42,MT19937-RandomState,3.0132941901683807e-05,00000001000000000001000000000000001000000000000000000000000000110010000000000000000000000000000000001000110000000000100000001,3ab52b948758350a4559acc29fa2affa0cfacfa062b58c53d9c3788003826451,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00012040045112371445,5.661230534315109e-05,9.506847709417343e-05,0.0,0.0,0.0002809995785355568,0.00027208123356103897,5,24,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.000677148811519146
4,25,5,100,2077334740,5,conj,glucose42,MT19937-RandomState,3.1123869121074677e-05,00100000000011000000000000100000000000001000000000000000000000000000000000000000000000000000000100010001000100001001000000000,d01a6868b2fd9f67a2f8cf255e566945d5465b5c4d0c9da137dea3073a3642b3,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00012827664613723755,3.691483289003372e-05,5.532801151275635e-05,0.0,0.0,0.0002274196594953537,0.00022051949054002762,5,24,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.00054208654910326
4,25,5,100,2077334740,6,conj,glucose42,MT19937-RandomState,3.1781382858753204e-05,01000010000000000000010000001000000000000000000000011000000000000000000001000000010000000000000000000000000011000010000000000,4389cd5c65f5d8ae4054826c24b1ce7240ba2cb9344c7588095c5e57884a16e4,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.0001243986189365387,3.880448639392853e-05,2.9223039746284485e-05,0.0,0.0,0.00019905343651771545,0.0001924261450767517,4,12,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.0003974819555878639
4,25,5,100,2077334740,7,conj,glucose42,MT19937-RandomState,2.9156915843486786e-05,00000000000100000001000000000000000000000000010010000000000000101000100010100000101000010000000000000010100000000000010000000,544324f5dc284fe88f6c0e2e25cb003ed943753621bbe32fe75f1a0c613d7bd2,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00011856015771627426,3.5434961318969727e-05,0.00010771583765745163,0.00011485442519187927,0.0008028140291571617,0.0011867322027683258,0.0003765653818845749,6,28,1,6,SAT_unsat_identifiable,1,boolean_factorization,exclude_x,exclude_x,0,119,338,0,1,1,0,1,0,0,1,1,1,0,0,0.0008890340104699135
4,25,5,100,2077334740,8,conj,glucose42,MT19937-RandomState,3.592483699321747e-05,00000000000000000000001000011100000001000001000000001001000000000000000000100000001000000000000000000010000110000000100010000,1b4d8afa466a26f856218bc86631f9514a422abc0f8329e6edc06b2cc8ed3742,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00014801975339651108,4.005059599876404e-05,0.0,0.0,0.0,0.00019219331443309784,0.00018807034939527512,5,32,1,4,identity_submatrix_identifiable,0,,,exclude_x,0,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0.0007171500474214554
4,25,5,100,2077334740,9,conj,glucose42,MT19937-RandomState,2.8448179364204407e-05,00000000000000000010001000000000001000100100000001000010000000100000000010000001000000010000000000000000100000000010110100000,6946d5d78bd723901107730b5a1f5e9e0c9c44d991eb116adb9b482903af64af,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.00011686328798532486,3.232434391975403e-05,2.4153850972652435e-05,0.0,0.0,0.000181686133146286,0.00017334148287773132,4,16,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.00035797804594039917
4,25,5,100,2077334740,10,conj,glucose42,MT19937-RandomState,8.258409798145294e-05,01000000100100000000000000000000000000000001100010100000000010010000000001000011000000000000000000000000011000000000000011000,f16dcf08865a3d378253a978abe0653ab2552503debc6115191ded09ec70cfe6,bernoulli,bernoulli|conj|p=0.1|zero=allow_iid|rng=MT19937-RandomState,0.1,allow_iid,0.0001271553337574005,4.258193075656891e-05,4.098564386367798e-05,0.0,0.0,0.00022017210721969604,0.0002107229083776474,4,12,0,2,two_column_check_failed,0,,,exclude_x,0,0,0,0,1,1,0,1,1,0,0,0,0,0,1,0.00046262796968221664
