J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,5,10,0.1,1,0,0.00010973098687827587,0.00010091089643537998,0.00012985803186893463,0.00048260297626256943,0.0001407440286129713,0.0,5,0.0009697589557617903,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0009638469200581312,0.0005519359838217497
25,5,10,0.1,1,1,0.00012522796168923378,5.92721626162529e-05,0.00010902900248765945,0.00012868200428783894,9.037693962454796e-05,0.0028170421719551086,6,0.00333467498421669,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,28,0.000512588070705533,0.0006051820237189531
25,5,10,0.1,1,2,8.649704977869987e-05,5.6483084335923195e-05,4.097307100892067e-05,0.0,0.0,0.0,5,0.00022563384845852852,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,18,0.00018395320512354374,0.0003092570696026087
25,5,10,0.1,1,3,0.00011240481398999691,5.374499596655369e-05,0.00011432589963078499,0.00011846097186207771,7.439195178449154e-05,0.002340652048587799,6,0.0028183278627693653,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,26,0.00047332863323390484,0.0005652620457112789
25,5,10,0.1,1,4,8.826702833175659e-05,5.1233917474746704e-05,9.393296204507351e-05,0.00012397393584251404,7.477495819330215e-05,0.0,5,0.00043604103848338127,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.000432182801887393,0.0005046988371759653
25,5,10,0.1,1,5,5.949405021965504e-05,0.0,0.0,0.0,0.0,0.0,4,9.939400479197502e-05,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,16,5.949405021965504e-05,0.00028289202600717545
25,5,10,0.1,1,6,6.977398879826069e-05,4.861690104007721e-05,7.682293653488159e-05,0.0,0.0,0.0,5,0.0002258948516100645,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,18,0.0001952138263732195,0.0004331190139055252
25,5,10,0.1,1,7,6.704498082399368e-05,0.0,0.0,0.0,0.0,0.0,4,0.0001111470628529787,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,16,6.704498082399368e-05,0.0002738300245255232
25,5,10,0.1,1,8,6.634695455431938e-05,0.0,0.0,0.0,0.0,0.0,4,0.00010654306970536709,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,16,6.634695455431938e-05,0.0002467131707817316
25,5,10,0.1,1,9,7.94020015746355e-05,5.34269493073225e-05,0.00011160597205162048,0.0,0.0,0.0,5,0.0002804119139909744,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,24,0.0002444349229335785,0.0004977250937372446
