J,K,N,p,seed,sim,basis_time,trivial_check_time,two_col_check_time,three_col_check_time,identity_check_time,sat_time,J_basis,algorithm_time,identifiable,branch,branch_label,sat_called,identity_original,not_complete_original,has_pure_node_original,no_pure_nodes_original,two_col_violation_original,identity_basis,two_col_violation_basis,M_basis,preprocess_time,diagnostic_time
25,5,10,0.1,2,0,0.00010560895316302776,0.00011020107194781303,0.0001138721127063036,0.00014956784434616566,0.00013509206473827362,0.0,5,0.0006198131013661623,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.0006143420469015837,0.0005390278529375792
25,5,10,0.1,2,1,7.991679012775421e-05,5.7006021961569786e-05,8.236407302320004e-05,0.0,0.0,0.0,5,0.0002685429062694311,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,24,0.00021928688511252403,0.00044356612488627434
25,5,10,0.1,2,2,7.41190742701292e-05,0.0,0.0,0.0,0.0,0.0,4,0.000124489888548851,0,-1,basis_J_less_than_K,0,0,1,1,0,1,0,1,16,7.41190742701292e-05,0.00026181316934525967
25,5,10,0.1,2,3,0.00011205789633095264,5.405815318226814e-05,0.00011186394840478897,0.00012016692198812962,6.973487325012684e-05,0.0026349870022386312,6,0.0031070709228515625,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,26,0.0004678817931562662,0.0005660930182784796
25,5,10,0.1,2,4,0.00011321599595248699,5.435990169644356e-05,0.0001122988760471344,0.00012054992839694023,7.19770323485136e-05,0.002391380025073886,6,0.0028679692186415195,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,28,0.0004724017344415188,0.0005533059593290091
25,5,10,0.1,2,5,8.616107515990734e-05,5.374802276492119e-05,9.370199404656887e-05,0.0,0.0,0.0,5,0.00027557509019970894,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,24,0.0002336110919713974,0.0004476378671824932
25,5,10,0.1,2,6,0.00011013192124664783,5.416804924607277e-05,6.361398845911026e-05,0.0,0.0,0.0,7,0.00026158103719353676,0,2,two_column_check_failed,0,0,1,1,0,1,0,1,23,0.00022791395895183086,0.0003561971243470907
25,5,10,0.1,2,7,9.649782441556454e-05,1.637311652302742e-05,0.0,0.0,0.0,0.0,6,0.00015572994016110897,0,0,all_zero_column,0,0,1,1,0,1,0,1,15,0.00011287094093859196,0.0003014388494193554
25,5,10,0.1,2,8,0.0001044741366058588,5.336198955774307e-05,0.00011228513903915882,0.00011800904758274555,6.853905506432056e-05,0.002009137999266386,6,0.002469786908477545,1,6,SAT_unsat_identifiable,1,0,1,1,0,0,0,0,22,0.0004566693678498268,0.0005628459621220827
25,5,10,0.1,2,9,9.588408283889294e-05,5.463790148496628e-05,0.00010099099017679691,0.00011859484948217869,7.074489258229733e-05,0.0,5,0.0004442920908331871,1,4,identity_submatrix_direct_id,0,0,1,1,0,0,1,0,32,0.00044085271656513214,0.0004857920575886965
